Agnaktor Helm : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Vambraces : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Faulds : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Agnaktor Cap : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Guards : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Coat : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Akatsuki Kabuto : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akatsuki Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akatsuki Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akatsuki Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akatsuki Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Akebono Eboshi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akebono Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akebono Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akebono Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akebono Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Alloy Helm S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
Amagi Kote : Proof of Hope x1, Mohran Scale+ x6, Mohran Brace+ x1, Earth Dragongem x1 : 1 希望の証, 6 豪山龍の上紅鱗, 1 豪山龍の上腕甲, 1 大地の龍玉
Amagi Koshiate : Proof of Hope x1, Mohran Brace+ x4, Mohran Rockskin+ x6, Mohran Scale+ x5 : 1 希望の証, 4 豪山龍の上腕甲, 6 豪山龍の堅岩殻, 5 豪山龍の上紅鱗
Amagi Hakama : Proof of Hope x1, Mohran Scale+ x5, Mohran Rockskin+ x6, Earth Dragongem x1 : 1 希望の証, 5 豪山龍の上紅鱗, 6 豪山龍の堅岩殻, 1 大地の龍玉
Arc Helm S : Shagaru Horn+ x2, Shagaru Scale+ x4, Shagaru Shell x4, Fulcralite Ore x2 : 2 天廻龍の尖角, 4 天廻龍の上鱗, 4 天廻龍の甲殻, 2 フルクライト鉱石
Arc Mail S : Shagaru Scale+ x3, Shagaru Opal x1, Gleaming Dragonscale x1, Union Ore x3 : 3 天廻龍の上鱗, 1 天廻龍の光玉, 1 純白の龍鱗, 3 ユニオン鉱石
Arc Vambraces S : Shagaru Claw+ x5, Shagaru Wing+ x2, Shagaru Carapace x5, Shagaru Wing x2 : 5 天廻龍の鋭浄爪, 2 天廻龍の上虹翼, 5 天廻龍の堅殻, 2 天廻龍の虹翼
Arc Faulds S : Shagaru Wing+ x2, Shagaru Carapace x5, Shagaru Plate x1, Shagaru Tail x1 : 2 天廻龍の上虹翼, 5 天廻龍の堅殻, 1 天廻龍の逆鱗, 1 天廻龍の尻尾
Arc Greaves S : Shagaru Carapace x5, Shagaru Scale+ x4, Shagaru Claw+ x5, Monster Hardbone x6 : 5 天廻龍の堅殻, 4 天廻龍の上鱗, 5 天廻龍の鋭浄爪, 6 堅竜骨
Arc Cap S : Shagaru Horn+ x2, Shagaru Scale+ x4, Shagaru Shell x4, Fulcralite Ore x2 : 2 天廻龍の尖角, 4 天廻龍の上鱗, 4 天廻龍の甲殻, 2 フルクライト鉱石
Arc Vest S : Shagaru Scale+ x3, Shagaru Opal x1, Gleaming Dragonscale x1, Union Ore x3 : 3 天廻龍の上鱗, 1 天廻龍の光玉, 1 純白の龍鱗, 3 ユニオン鉱石
Arc Guards S : Shagaru Claw+ x5, Shagaru Wing+ x2, Shagaru Carapace x5, Shagaru Wing x2 : 5 天廻龍の鋭浄爪, 2 天廻龍の上虹翼, 5 天廻龍の堅殻, 2 天廻龍の虹翼
Arc Coat S : Shagaru Wing+ x2, Shagaru Carapace x5, Shagaru Plate x1, Shagaru Tail x1 : 2 天廻龍の上虹翼, 5 天廻龍の堅殻, 1 天廻龍の逆鱗, 1 天廻龍の尻尾
Arc Leggings S : Shagaru Carapace x5, Shagaru Scale+ x4, Shagaru Claw+ x5, Monster Hardbone x6 : 5 天廻龍の堅殻, 4 天廻龍の上鱗, 5 天廻龍の鋭浄爪, 6 堅竜骨
Arc Helm : Shagaru Horn x2, Shagaru Scale x3, Gleaming Dragonscale x2, Lightcrystal x2 : 2 天廻龍の角, 3 天廻龍の鱗, 2 純白の龍鱗, 2 ライトクリスタル
Arc Mail : Shagaru Scale x3, Shagaru Wing x2, Shagaru Shell x3, Shagaru Tail x1 : 3 天廻龍の鱗, 2 天廻龍の虹翼, 3 天廻龍の甲殻, 1 天廻龍の尻尾
Arc Vambraces : Shagaru Claw x2, Shagaru Scale x2, Shagaru Shell x4, Levitalite Ore x3 : 2 天廻龍の浄爪, 2 天廻龍の鱗, 4 天廻龍の甲殻, 3 レビテライト鉱石
Arc Faulds : Shagaru Horn x1, Shagaru Wing x2, Shagaru Shell x4, Lightcrystal x2 : 1 天廻龍の角, 2 天廻龍の虹翼, 4 天廻龍の甲殻, 2 ライトクリスタル
Arc Greaves : Shagaru Shell x3, Shagaru Scale x1, Shagaru Plate x1, Monster Bone+ x4 : 3 天廻龍の甲殻, 1 天廻龍の鱗, 1 天廻龍の逆鱗, 4 上竜骨
Arc Cap : Shagaru Horn x2, Shagaru Scale x3, Gleaming Dragonscale x2, Lightcrystal x2 : 2 天廻龍の角, 3 天廻龍の鱗, 2 純白の龍鱗, 2 ライトクリスタル
Arc Vest : Shagaru Scale x3, Shagaru Wing x2, Shagaru Shell x3, Shagaru Tail x1 : 3 天廻龍の鱗, 2 天廻龍の虹翼, 3 天廻龍の甲殻, 1 天廻龍の尻尾
Arc Guards : Shagaru Claw x2, Shagaru Scale x2, Shagaru Shell x4, Levitalite Ore x3 : 2 天廻龍の浄爪, 2 天廻龍の鱗, 4 天廻龍の甲殻, 3 レビテライト鉱石
Arc Coat : Shagaru Horn x1, Shagaru Wing x2, Shagaru Shell x4, Lightcrystal x2 : 1 天廻龍の角, 2 天廻龍の虹翼, 4 天廻龍の甲殻, 2 ライトクリスタル
Arc Leggings : Shagaru Shell x3, Shagaru Scale x1, Shagaru Plate x1, Monster Bone+ x4 : 3 天廻龍の甲殻, 1 天廻龍の鱗, 1 天廻龍の逆鱗, 4 上竜骨
Archer's Shade : Wolf Coin x3, Hunter King Coin x3, Inferno Sac x4 : 3 牙竜のコイン, 3 狩猟王のコイン, 4 爆炎袋
Archer's Girdle : Wyvern Coin x2, Hunter King Coin x3, Lightning Sac x4 : 2 飛竜のコイン, 3 狩猟王のコイン, 4 電撃袋
Archer's Gauntlets : Wolf Coin x2, Hunter King Coin x3, Freezer Sac x4 : 2 牙竜のコイン, 3 狩猟王のコイン, 4 凍結袋
Archer's Faulds : Wyvern Coin x3, Hunter King Coin x3, Torrent Sac x4 : 3 飛竜のコイン, 3 狩猟王のコイン, 4 大水袋
Archer's Espadrilles : Wolf Coin x2, Hunter King Coin x3, Earth Dragongem x1 : 2 牙竜のコイン, 3 狩猟王のコイン, 1 大地の龍玉
Armament Jacket : Armament Invitation x2, Generu Shield x1, Aruserutasu Shell x3, Generu Extract x1 : 2 武装への招待状, 1 重甲虫の胸殻, 3 徹甲虫の甲殻, 1 重甲エキス
Armament Rider : Armament Invitation x2, Generu Shield x1, Aruserutasu Shell x3, Generu Extract x1 : 2 武装への招待状, 1 重甲虫の胸殻, 3 徹甲虫の甲殻, 1 重甲エキス
Artian EX Helm : Rajang Ticket x1, Ancient Fragment x4, Rajang Claw+ x2, Guild Ticket+ x1 : 1 金獅子チケット, 4 太古の破片, 2 金獅子の尖爪, 1 ギルドチケットＧ
Artian EX Mail : Rajang Ticket x1, Ancient Fragment x6, Rajang Soul x1, Guild Ticket+ x1 : 1 金獅子チケット, 6 太古の破片, 1 金獅子の闘魂, 1 ギルドチケットＧ
Artian EX Vambraces : Rajang Ticket x1, Ancient Fragment x4, Fulcralite Ore x8, Guild Ticket+ x1 : 1 金獅子チケット, 4 太古の破片, 8 フルクライト鉱石, 1 ギルドチケットＧ
Artian EX Coil : Rajang Ticket x1, Ancient Fragment x5, Rajang Claw+ x5, Guild Ticket+ x1 : 1 金獅子チケット, 5 太古の破片, 5 金獅子の尖爪, 1 ギルドチケットＧ
Artian EX Greaves : Rajang Ticket x1, Ancient Fragment x8, Rajang Soul x1, Guild Ticket+ x1 : 1 金獅子チケット, 8 太古の破片, 1 金獅子の闘魂, 1 ギルドチケットＧ
Artian Helm S : Ancient Fragment x6, Fulcralite Ore x2, Rusted Fragment x4, Novacrystal x3 : 6 太古の破片, 2 フルクライト鉱石, 4 さびた破片, 3 ノヴァクリスタル
Artian Mail S : Ancient Fragment x5, Fulcralite Ore x2, Rusted Fragment x2, Lightcrystal x6 : 5 太古の破片, 2 フルクライト鉱石, 2 さびた破片, 6 ライトクリスタル
Artian Vambraces S : Ancient Fragment x6, Fulcralite Ore x2, Rusted Fragment x2, Sky Crystal x10 : 6 太古の破片, 2 フルクライト鉱石, 2 さびた破片, 10 天空の結晶
Artian Coil S : Ancient Fragment x5, Firecell Stone x3, Rusted Fragment x4, Carbalite Ore x10 : 5 太古の破片, 3 獄炎石, 4 さびた破片, 10 カブレライト鉱石
Artian Greaves S : Ancient Fragment x5, Firecell Stone x3, Rusted Fragment x2, Union Ore x5 : 5 太古の破片, 3 獄炎石, 2 さびた破片, 5 ユニオン鉱石
Artian Cap S : Ancient Fragment x6, Fulcralite Ore x2, Rusted Fragment x4, Novacrystal x3 : 6 太古の破片, 2 フルクライト鉱石, 4 さびた破片, 3 ノヴァクリスタル
Artian EX Cap : Rajang Ticket x1, Ancient Fragment x4, Rajang Claw+ x2, Guild Ticket+ x1 : 1 金獅子チケット, 4 太古の破片, 2 金獅子の尖爪, 1 ギルドチケットＧ
Artian Vest S : Ancient Fragment x5, Fulcralite Ore x2, Rusted Fragment x2, Lightcrystal x6 : 5 太古の破片, 2 フルクライト鉱石, 2 さびた破片, 6 ライトクリスタル
Artian EX Vest : Rajang Ticket x1, Ancient Fragment x6, Rajang Soul x1, Guild Ticket+ x1 : 1 金獅子チケット, 6 太古の破片, 1 金獅子の闘魂, 1 ギルドチケットＧ
Artian Guards S : Ancient Fragment x6, Fulcralite Ore x2, Rusted Fragment x2, Sky Crystal x10 : 6 太古の破片, 2 フルクライト鉱石, 2 さびた破片, 10 天空の結晶
Artian EX Guards : Rajang Ticket x1, Ancient Fragment x4, Fulcralite Ore x8, Guild Ticket+ x1 : 1 金獅子チケット, 4 太古の破片, 8 フルクライト鉱石, 1 ギルドチケットＧ
Artian Coat S : Ancient Fragment x5, Firecell Stone x3, Rusted Fragment x4, Carbalite Ore x10 : 5 太古の破片, 3 獄炎石, 4 さびた破片, 10 カブレライト鉱石
Artian EX Coat : Rajang Ticket x1, Ancient Fragment x5, Rajang Claw+ x5, Guild Ticket+ x1 : 1 金獅子チケット, 5 太古の破片, 5 金獅子の尖爪, 1 ギルドチケットＧ
Artian Leggings S : Ancient Fragment x5, Firecell Stone x3, Rusted Fragment x2, Union Ore x5 : 5 太古の破片, 3 獄炎石, 2 さびた破片, 5 ユニオン鉱石
Artian EX Leggings : Rajang Ticket x1, Ancient Fragment x8, Rajang Soul x1, Guild Ticket+ x1 : 1 金獅子チケット, 8 太古の破片, 1 金獅子の闘魂, 1 ギルドチケットＧ
Artian Mail : Rusted Fragment x5, Firestone x2, Dragonite Ore x4 : 5 さびた破片, 2 紅蓮石, 4 ドラグライト鉱石
Artian Vambraces : Rusted Fragment x4, Levitalite Ore x3, Earth Crystal x10 : 4 さびた破片, 3 レビテライト鉱石, 10 大地の結晶
Artian Greaves : Rusted Fragment x5, Firestone x2, Machalite Ore x8 : 5 さびた破片, 2 紅蓮石, 8 マカライト鉱石
Artian Vest : Rusted Fragment x5, Firestone x2, Dragonite Ore x4 : 5 さびた破片, 2 紅蓮石, 4 ドラグライト鉱石
Artian Guards : Rusted Fragment x4, Levitalite Ore x3, Earth Crystal x10 : 4 さびた破片, 3 レビテライト鉱石, 10 大地の結晶
Artian Leggings : Rusted Fragment x5, Firestone x2, Machalite Ore x8 : 5 さびた破片, 2 紅蓮石, 8 マカライト鉱石
Arzuros Helm : Arzuros Shell x2, Arzuros Pelt x2, Gluehopper x2 : 2 青熊獣の甲殻, 2 青熊獣の毛, 2 のりこねバッタ
Arzuros Mail : Arzuros Pelt x3, Arzuros Shell x1, Flashbug x2 : 3 青熊獣の毛, 1 青熊獣の甲殻, 2 光蟲
Arzuros Vambraces : Arzuros Shell x2, Arzuros Pelt x2, Altaroth Stomach x1 : 2 青熊獣の甲殻, 2 青熊獣の毛, 1 甲虫の腹袋
Arzuros Faulds : Arzuros Pelt x2, Arzuros Shell x1, Gluehopper x2 : 2 青熊獣の毛, 1 青熊獣の甲殻, 2 のりこねバッタ
Arzuros Greaves : Arzuros Pelt x2, Bnahabra Shell x2, Flashbug x1 : 2 青熊獣の毛, 2 飛甲虫の甲殻, 1 光蟲
Arzuros Cap : Arzuros Shell x2, Arzuros Pelt x2, Gluehopper x2 : 2 青熊獣の甲殻, 2 青熊獣の毛, 2 のりこねバッタ
Arzuros Vest : Arzuros Pelt x3, Arzuros Shell x1, Flashbug x2 : 3 青熊獣の毛, 1 青熊獣の甲殻, 2 光蟲
Arzuros Guards : Arzuros Shell x2, Arzuros Pelt x2, Altaroth Stomach x1 : 2 青熊獣の甲殻, 2 青熊獣の毛, 1 甲虫の腹袋
Arzuros Coat : Arzuros Pelt x2, Arzuros Shell x1, Gluehopper x2 : 2 青熊獣の毛, 1 青熊獣の甲殻, 2 のりこねバッタ
Arzuros Leggings : Arzuros Pelt x2, Bnahabra Shell x2, Flashbug x1 : 2 青熊獣の毛, 2 飛甲虫の甲殻, 1 光蟲
Barioth Helm : Amber Fang+ x2, Pale Khezu Steak x1, Khezu Hide x5 : 2 琥珀色の鋭牙, 1 アルビノの霜降り, 5 真珠色の柔皮
Barioth Mail : Barioth Pelt+ x4, Stoutbone x4, Freezer Sac x5 : 4 氷牙竜の上毛皮, 4 堅牢な骨, 5 凍結袋
Barioth Vambraces : Amber Fang+ x2, Lagombi Pelt+ x4, Lagombi Plastron+ x3 : 2 琥珀色の鋭牙, 4 白兎獣の剛毛, 3 白兎獣の堅腹甲
Barioth Faulds : Amber Fang+ x2, Barioth Pelt+ x4, Wyvern Stone x1 : 2 琥珀色の鋭牙, 4 氷牙竜の上毛皮, 1 竜玉
Barioth Greaves : Barioth Pelt+ x5, Lagombi Claw+ x3, Lagombi Pelt+ x4 : 5 氷牙竜の上毛皮, 3 白兎獣の凍爪, 4 白兎獣の剛毛
Barioth Cap : Amber Fang+ x2, Pale Khezu Steak x1, Khezu Hide x5 : 2 琥珀色の鋭牙, 1 アルビノの霜降り, 5 真珠色の柔皮
Barioth Vest : Barioth Pelt+ x4, Stoutbone x4, Freezer Sac x5 : 4 氷牙竜の上毛皮, 4 堅牢な骨, 5 凍結袋
Barioth Guards : Amber Fang+ x2, Lagombi Pelt+ x4, Lagombi Plastron+ x3 : 2 琥珀色の鋭牙, 4 白兎獣の剛毛, 3 白兎獣の堅腹甲
Barioth Coat : Amber Fang+ x2, Barioth Pelt+ x4, Wyvern Stone x1 : 2 琥珀色の鋭牙, 4 氷牙竜の上毛皮, 1 竜玉
Barioth Leggings : Barioth Pelt+ x5, Lagombi Claw+ x3, Lagombi Pelt+ x4 : 5 氷牙竜の上毛皮, 3 白兎獣の凍爪, 4 白兎獣の剛毛
Barroth Helm : Barroth Shell x1, Barroth Scalp x1, Rhenoplos Scalp x2 : 1 土砂竜の甲殻, 1 土砂竜の頭殻, 2 草食竜の頭殻
Barroth Mail : Barroth Scalp x1, Barroth Shell x2, Killer Beetle x2 : 1 土砂竜の頭殻, 2 土砂竜の甲殻, 2 キラビートル
Barroth Vambraces : Barroth Shell x2, Rhenoplos Shell x3, Monster Bone S x4 : 2 土砂竜の甲殻, 3 草食竜の甲殻, 4 竜骨【小】
Barroth Faulds : Barroth Shell x2, Rhenoplos Shell x2, Monster Bone M x3 : 2 土砂竜の甲殻, 2 草食竜の甲殻, 3 竜骨【中】
Barroth Greaves : Barroth Shell x2, Monster Bone L x2, Rhenoplos Shell x3 : 2 土砂竜の甲殻, 2 竜骨【大】, 3 草食竜の甲殻
Barroth Cap : Barroth Shell x1, Barroth Scalp x1, Rhenoplos Scalp x2 : 1 土砂竜の甲殻, 1 土砂竜の頭殻, 2 草食竜の頭殻
Barroth Vest : Barroth Scalp x1, Barroth Shell x2, Killer Beetle x2 : 1 土砂竜の頭殻, 2 土砂竜の甲殻, 2 キラビートル
Barroth Guards : Barroth Shell x2, Rhenoplos Shell x3, Monster Bone S x4 : 2 土砂竜の甲殻, 3 草食竜の甲殻, 4 竜骨【小】
Barroth Coat : Barroth Shell x2, Rhenoplos Shell x2, Monster Bone M x3 : 2 土砂竜の甲殻, 2 草食竜の甲殻, 3 竜骨【中】
Barroth Leggings : Barroth Shell x2, Monster Bone L x2, Rhenoplos Shell x3 : 2 土砂竜の甲殻, 2 竜骨【大】, 3 草食竜の甲殻
Basarios Helm U : P.Basarios Carapace x3, BasariosTears x1, Sm Goldenfish x5, Union Ore x3 : 3 桃岩竜の堅殻, 1 岩竜の涙, 5 小金魚, 3 ユニオン鉱石
Basarios Mail U : P.Basarios Carapace x5, Firecell Stone x1, P.Basarios Wing x1, Dragonite Ore x10 : 5 桃岩竜の堅殻, 1 獄炎石, 1 桃岩竜の翼, 10 ドラグライト鉱石
Basarios Vambraces U : P.Basarios Carapace x3, Carbalite Ore x5, Toxin Sac x3, P.Basarios Wing x2 : 3 桃岩竜の堅殻, 5 カブレライト鉱石, 3 猛毒袋, 2 桃岩竜の翼
Basarios Faulds U : P.Basarios Carapace x4, Carbalite Ore x7, Toxin Sac x3, Bird Wyvern Hide+ x3 : 4 桃岩竜の堅殻, 7 カブレライト鉱石, 3 猛毒袋, 3 強靭な鳥竜皮
Basarios Greaves U : P.Basarios Carapace x3, Carbalite Ore x5, Gendrome Tail x2, Bird Wyvern Hide+ x3 : 3 桃岩竜の堅殻, 5 カブレライト鉱石, 2 ドスゲネポスの尾, 3 強靭な鳥竜皮
