Leather Headgear : Warm Pelt x1, Iron Ore x1 : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : Warm Pelt x2 : 2 暖かい毛皮
Leather Belt : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : Warm Pelt x2 : 2 暖かい毛皮
Piscine Mask : Kelbi Horn x2, Airweed x2, Mystery Bone x2 : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : Hydro Hide x2, Broken Shell x2 : 2 水生獣の皮, 2 欠けた貝殻
Piscine Breeches : Hydro Hide x2, Big Fin x1 : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : Earth Crystal x1, Iron Ore x1 : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : Iron Ore x2, Warm Pelt x1 : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : Iron Ore x1, Whetstone x2 : 1 鉄鉱石, 2 砥石
Chainmail Belt : Iron Ore x1, Warm Pelt x2 : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : Iron Ore x2, Warm Pelt x2 : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : Altaroth Stomach x1, Monster Fluid x3, Ice Crystal x3 : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : Altaroth Stomach x2, Altaroth Jaw x2, Ice Crystal x3 : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : Altaroth Jaw x3, Altaroth Stomach x2, Ice Crystal x3 : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Dogi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Kote : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Obi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Hakama : Buy in Tanzia Port (1100z) : ※港店売り
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Arzuros Cap : Arzuros Shell x2, Arzuros Pelt x2, Jumbo Bone x2, Carpenterbug x3 : 2 青熊獣の甲殻, 2 青熊獣の毛, 2 大きな骨, 3 セッチャクロアリ
Arzuros Vest : Arzuros Pelt x3, Arzuros Shell x1, Bnahabra Shell x2, Flashbug x3 : 3 青熊獣の毛, 1 青熊獣の甲殻, 2 飛甲虫の甲殻, 3 光蟲
Arzuros Guards : Arzuros Shell x2, Arzuros Brace x1, Arzuros Pelt x2, Altaroth Stomach x2 : 2 青熊獣の甲殻, 1 青熊獣の腕甲, 2 青熊獣の毛, 2 甲虫の腹袋
Arzuros Coat : Arzuros Pelt x2, Arzuros Shell x1, Jumbo Bone x1, Carpenterbug x3 : 2 青熊獣の毛, 1 青熊獣の甲殻, 1 大きな骨, 3 セッチャクロアリ
Arzuros Leggings : Arzuros Brace x2, Arzuros Pelt x2, Bnahabra Shell x2, Flashbug x3 : 2 青熊獣の腕甲, 2 青熊獣の毛, 2 飛甲虫の甲殻, 3 光蟲
Wroggi Helm : King's Beak x1, G.Wroggi Hide x2, Wroggi Scale x2, Killer Beetle x2 : 1 王者のクチバシ, 2 毒狗竜の皮, 2 フロギィの鱗, 2 キラビートル
Wroggi Mail : G.Wroggi Hide x2, G.Wroggi Brace x1, Poison Sac x3, Ice Crystal x5 : 2 毒狗竜の皮, 1 毒狗竜の腕甲, 3 毒袋, 5 氷結晶
Wroggi Vambraces : G.Wroggi Brace x2, G.Wroggi Hide x2, Wroggi Scale x2, Carpenterbug x3 : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 2 フロギィの鱗, 3 セッチャクロアリ
Wroggi Faulds : Wroggi Hide x3, Wroggi Scale x2, Monster Bone S x6, Killer Beetle x3 : 3 フロギィの皮, 2 フロギィの鱗, 6 竜骨【小】, 3 キラビートル
Wroggi Greaves : G.Wroggi Brace x2, G.Wroggi Hide x2, Wroggi Hide x3, Carpenterbug x3 : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 3 フロギィの皮, 3 セッチャクロアリ
Wroggi Cap : King's Beak x1, G.Wroggi Hide x2, Wroggi Scale x2, Killer Beetle x2 : 1 王者のクチバシ, 2 毒狗竜の皮, 2 フロギィの鱗, 2 キラビートル
Wroggi Vest : G.Wroggi Hide x2, G.Wroggi Brace x1, Poison Sac x3, Ice Crystal x5 : 2 毒狗竜の皮, 1 毒狗竜の腕甲, 3 毒袋, 5 氷結晶
Wroggi Guards : G.Wroggi Brace x2, G.Wroggi Hide x2, Wroggi Scale x2, Carpenterbug x3 : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 2 フロギィの鱗, 3 セッチャクロアリ
Wroggi Coat : Wroggi Hide x3, Wroggi Scale x2, Monster Bone S x6, Killer Beetle x3 : 3 フロギィの皮, 2 フロギィの鱗, 6 竜骨【小】, 3 キラビートル
Wroggi Leggings : G.Wroggi Brace x2, G.Wroggi Hide x2, Wroggi Hide x3, Carpenterbug x3 : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 3 フロギィの皮, 3 セッチャクロアリ
Qurupeco Helm : Strange Beak x2, Qurupeco Feather x2, Monster Bone M x2, Carpenterbug x3 : 2 へんなクチバシ, 2 彩鳥の羽, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Mail : Vivid Feather x1, Qurupeco Scale x2, Monster Bone M x2, Carpenterbug x3 : 1 極彩色の羽根, 2 彩鳥の鱗, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Vambraces : Flintstone x1, Qurupeco Feather x2, Qurupeco Scale x2, Thunderbug x2 : 1 火打石, 2 彩鳥の羽根, 2 彩鳥の鱗, 2 雷光虫
Qurupeco Coil : Qurupeco Feather x2, Qurupeco Scale x3, Monster Bone S x4, Killer Beetle x2 : 2 彩鳥の羽根, 3 彩鳥の鱗, 4 竜骨【小】, 2 キラビートル
Qurupeco Greaves : Qurupeco Scale x2, Vivid Feather x1, Monster Bone S x4, Killer Beetle x2 : 2 彩鳥の鱗, 1 極彩色の羽根, 4 竜骨【小】, 2 キラビートル
Qurupeco Cap : Strange Beak x2, Qurupeco Feather x2, Monster Bone M x2, Carpenterbug x3 : 2 へんなクチバシ, 2 彩鳥の羽, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Vest : Vivid Feather x1, Qurupeco Scale x2, Monster Bone M x2, Carpenterbug x3 : 1 極彩色の羽根, 2 彩鳥の鱗, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Guards : Flintstone x1, Qurupeco Feather x2, Qurupeco Scale x2, Thunderbug x2 : 1 火打石, 2 彩鳥の羽根, 2 彩鳥の鱗, 2 雷光虫
Qurupeco Coat : Qurupeco Feather x2, Qurupeco Scale x3, Monster Bone S x4, Killer Beetle x2 : 2 彩鳥の羽根, 3 彩鳥の鱗, 4 竜骨【小】, 2 キラビートル
Qurupeco Leggings : Qurupeco Scale x2, Vivid Feather x1, Monster Bone S x4, Killer Beetle x2 : 2 彩鳥の鱗, 1 極彩色の羽根, 4 竜骨【小】, 2 キラビートル'
Ludroth Helm : R.Ludroth Crest x2, R.Ludroth Tail x1, R.Ludroth Scale x2, Carpenterbug x3 : 2 水獣のトサカ, 1 水獣の尻尾, 2 水獣の鱗, 3 セッチャクロアリ
Ludroth Mail : Spongy Hide x2, R.Ludroth Claw x1, Hydro Hide x3, Killer Beetle x2 : 2 海綿質の皮, 1 水獣の爪, 3 水生獣の皮, 2 キラビートル
Ludroth Vambraces : R.Ludroth Claw x1, R.Ludroth Scale x2, Spongy Hide x2, Aqua Sac x2 : 1 水獣の爪, 2 水獣の鱗, 2 海綿質の皮, 2 水袋
Ludroth Faulds : Hydro Hide x3, Immature Sponge x5, Monster Bone S x4, Killer Beetle x2 : 3 水生獣の皮, 5 未熟な海綿質, 4 竜骨【小】, 2 キラビートル
Ludroth Greaves : R.Ludroth Claw x2, R.Ludroth Scale x3, Spongy Hide x2, Carpenterbug x3 : 2 水獣の爪, 3 水獣の鱗, 2 海綿質の皮, 3 セッチャクロアリ
Ludroth Cap : R.Ludroth Crest x2, R.Ludroth Tail x1, R.Ludroth Scale x2, Carpenterbug x3 : 2 水獣のトサカ, 1 水獣の尻尾, 2 水獣の鱗, 3 セッチャクロアリ
Ludroth Vest : Spongy Hide x2, R.Ludroth Claw x1, Hydro Hide x3, Killer Beetle x2 : 2 海綿質の皮, 1 水獣の爪, 3 水生獣の皮, 2 キラビートル
Ludroth Guards : R.Ludroth Claw x1, R.Ludroth Scale x2, Spongy Hide x2, Aqua Sac x2 : 1 水獣の爪, 2 水獣の鱗, 2 海綿質の皮, 2 水袋
Ludroth Coat : Hydro Hide x3, Immature Sponge x5, Monster Bone S x4, Killer Beetle x2 : 3 水生獣の皮, 5 未熟な海綿質, 4 竜骨【小】, 2 キラビートル
Ludroth Leggings : R.Ludroth Claw x2, R.Ludroth Scale x3, Spongy Hide x2, Carpenterbug x3 : 2 水獣の爪, 3 水獣の鱗, 2 海綿質の皮, 3 セッチャクロアリ
Baggi Helm : G.Baggi Hide x3, G.Baggi Claw x2, Baggi Scale x3, Isisium x2 : 3 眠狗竜の皮, 2 眠狗竜の爪, 3 バギィの鱗, 2 アイシスメタル
Baggi Mail : King's Crest x1, G.Baggi Claw x1, Baggi Hide x2, Pelagicite Ore x2 : 1 王者のトサカ, 1 眠狗竜の爪, 2 バギィの皮, 2 シーブライト鉱石
Baggi Vambraces : G.Baggi Claw x2, G.Baggi Hide x3, Baggi Hide x2, Isisium x2 : 2 眠狗竜の爪, 3 眠狗竜の皮, 2 バギィの皮, 2 アイシスメタル
Baggi Coil : G.Baggi Hide x2, King's Crest x1, Sleep x3, Pelagicite Ore x2 : 2 眠狗竜の皮, 1 王者のトサカ, 3 睡眠袋, 2 シーブライト鉱石
Baggi Greaves : Baggi Hide x4, Baggi Scale x3, Monster Bone S x6, Lightcrystal x1 : 4 バギィの皮, 3 バギィの鱗, 6 竜骨【小】, 1 ライトクリスタル
