  0: Antidote Jewel       Poison +1, Stun -1
101: Quickload Jewel      Reload Spd +3, Recoil -1
102: Magazine Jewel       Loading +1, Reload Spd -1
103: Magazine Jewel       Loading +2, Reload Spd -2
104: Salvo Jewel          Rapid Fire +1, Reload Spd -1
105: Salvo Jewel          Rapid Fire +4, Reload Spd -2
106: Absorber Jewel       Recoil +1, Reload Spd -1
107: Absorber Jewel       Recoil +4, Reload Spd -2
108: Sniper Jewel         Precision +2
109: Forceshot Jewel      NormalS Up +1, Recoil -1
110: Forceshot Jewel      NormalS Up +4, Recoil -2
111: Pierce Jewel         PierceS Up +1, Recoil -1
112: Pierce Jewel         PierceS Up +4, Recoil -2
113: Pellet Jewel         PelletS Up +1, Recoil -1
114: Pellet Jewel         PelletS Up +4, Recoil -2
115: ShotPlus Jewel       Normal S+ +1, Reload Spd -1
116: ShotPlus Jewel       Normal S+ +3, Reload Spd -1
117: PiercPlus Jewel      Pierce S+ +2
118: PelletPlus Jewel     Pellet S+ +2
119: CragPlus Jewel       Crag S+ +2
120: ClustPlus Jewel      Clust S+ +1, Reload Spd -1
121: SlicePlus Jewel      Slice S+ +2
122: BlastPlus Jewel      Blast S+ +2
123: PoisonCoat Jewel     Poison C+ +2
124: ParaCoat Jewel       Para C+ +1, Attack -1
125: ParaCoat Jewel       Para C+ +3, Attack -1
126: SleepCoat Jewel      Sleep C+ +2
127: PowerCoat Jewel      Power C+ +1, Expert -1
128: PowerCoat Jewel      Power C+ +3, Expert -1
129: CloseRCoat Jewel     CloseR C+ +2
130: ExhausCoat Jewel     Exhaust C+ +2
131: BlastCoat Jewel      Blast C+ +2
132: Flute Jewel          Flute +2
133: Gunnery Jewel        Gunnery +2
134: Bombardier Jewel     Bomb Boost +2
135: Medicine Jewel       Rec Level +1, Rec Speed -1
136: Medicine Jewel       Rec Level +3, Rec Speed -1
137: Friendship Jewel     Wide-Range +1, Sense -1
138: Friendship Jewel     Wide-Range +3, Sense -1
139: Enduring Jewel       LastingPwr +2
140: Hungerless Jewel     Hunger +2
141: Metabolism Jewel     Gluttony +2
142: Gobbler Jewel        Eating +1, Rec Level -1
143: Gobbler Jewel        Eating +4, Rec Level -2
144: MeatEater Jewel      Meat Lover +1, Hunger -1
145: MeatLover Jewel      Meat Lover +2
146: Professor Jewel      Combo Rate +2
147: Factory Jewel        Combo Plus +2
148: Gathering Jewel      Gathering +2
149: Spree Jewel          Spd Gather +2
150: Blessing Jewel       Whim +2
151: HoneyGrab Jewel      Honey +1, Whim -1
152: HoneyGrab Jewel+     Honey +2
153: Charm Jewel          Charm +2
154: Fate Jewel           Fate +1, Whim -1
155: Fate Jewel           Fate +4, Whim -2
156: Carver Jewel         Carving +1, Fate -1
157: Carver Jewel         Carving +4, Fate -2
158: Capture Jewel        Tranquilzr +1, Fate -1
159: Capture Jewel        Tranquilzr +4, Fate -2
160: Perception Jewel     Perception +2
161: Psychic Jewel        Psychic +2
162: Transportr Jewel     Transportr +2
163: Hunter Jewel         Hunter +2
164: Alarm Jewel          Anti-Theft +2
165: TrapMaster Jewel     SpeedSetup +2
166: Torchlight Jewel     Flame Aura +2
167: Fresh Air Jewel      Oxygen +2
168: Upstream Jewel       CurrentRes +1, Wind Res -1
169: Upstream Jewel       CurrentRes +3, Wind Res -1
170: Swimmer Jewel        Swimming +1, Oxygen -1
171: Diver Jewel          Swimming +2, Oxygen -1
172: Water God Jewel      Water God +1, Stamina -1
173: Water God Jewel      Water God +3, Stamina -1
174: Potential Jewel      Potential +1, Protection -1
175: Potential Jewel      Potential +3, Protection -1
176: Fortitude Jewel      Survivor +1, Rec Level -1
177: Fortitude Jewel      Survivor +3, Rec Level -1
178: Full Release Jewel   Earnest +1, Sense -1
179: Full Release Jewel   Earnest +3, Sense -1
180: Fighter Jewel        Fighter +1, Guard -1
181: Fighter Jewel        Fighter +3, Guard -1
182: Unhurt Jewel         Unhurt +1, Rec Speed -1
183: Unhurt Jewel         Unhurt +3, Rec Speed -1
184: Release Jewel        FreeElemnt +1, Status -1
185: Catalyst Jewel       FreeElemnt +2, Status -2
186: Resistor Jewel       Blight Res +1, Health -1
187: Resistor Jewel       Blight Res +4, Health -2
188: Rigid Jewel          Firm +1, Defense -1
189: Rigid Jewel          Firm +4, Defense -2
190: Guts Jewel           Guts +1, Combo Rate -1
191: Guts Jewel           Guts +3, Combo Rate -1
192: Baton Jewel          Baton +1, LastingPwr -1
193: Baton Pro Jewel      Baton +2
194: Order Jewel          Order +1, Gathering -1
195: Order Jewel          Order +3, Gathering -1
