Antidote Jewel :  2 Antiseptic Stone, 1 Aquaglow Jewel
Element Jewel+ :  3 Shell Shocker+, 3 Lazurite Jewel
Bombardier Jewel :  1 Uragaan Scute, 1 Sunspire Jewel
Lite Eater Jewel :  1 Monster Bone M, 1 Aquaglow Jewel
Hungerless Jewel :  3 Monster Bone L, 1 Sunspire Jewel
Metabolism Jewel :  1 Great Jaggi Hide, 1 Aquaglow Jewel
Attack Jewel :  3 Jaggi Scale, 1 Aquaglow Jewel
Assault Jewel :  3 Rathalos Scale, 2 Sunspire Jewel
Onslaught Jewel :  3 Deviljho Scale, 3 Bloodrun Jewel
Defense Jewel :  1 Qurupeco Scale, 1 Aquaglow Jewel
Turtle Jewel :  3 Uragaan Scale, 2 Sunspire Jewel
Protection Jewel :  2 R.Ludroth Scale, 1 Sunspire Jewel
Asylum Jewel :  3 R.Ludroth Scale+, 1 Bloodrun Jewel
Earplug Jewel :  2 Rathian Webbing, 1 Sunspire Jewel
Silencer Jewel :  1 Rathian Spike+, 3 Lazurite Jewel
Alarm Jewel :  1 Unknown Skull, 1 Aquaglow Jewel
Friendship Jewel :  1 Strange Beak, 1 Aquaglow Jewel
Alliance Jewel :  1 Wonderful Beak, 2 Bloodrun Jewel
Transportr Jewel :  1 Altaroth Jaw, 1 Aquaglow Jewel
Crimson Jewel :  10 Firedouse Berry, 1 Aquaglow Jewel
Torrent Jewel :  10 Waterblock Seed, 1 Aquaglow Jewel
Storm Jewel :  10 Stormsender Seed, 1 Aquaglow Jewel
Glacier Jewel :  10 Icethaw Pellet, 1 Aquaglow Jewel
Dragonbane Jewel :  10 Dragonfell Berry, 1 Bloodrun Jewel
Breeze Jewel :  2 Sharpened Fang, 1 Aquaglow Jewel
Warmth Jewel :  2 Warm Pelt, 1 Aquaglow Jewel
Sandbag Jewel :  2 Dragonite Ore, 1 Sunspire Jewel
Anchor Jewel :  4 Carbalite Ore, 2 Bloodrun Jewel
Map Jewel :  2 Iron Ore, 1 Aquaglow Jewel
Gathering Jewel :  1 Kelbi Horn, 1 Aquaglow Jewel
Spree Jewel :  1 Altaroth Stomach, 1 Aquaglow Jewel
Blessing Jewel :  3 Mystery Bone, 1 Aquaglow Jewel
Fate Jewel :  1 Deviljho Scalp, 1 Bloodrun Jewel
Destiny Jewel :  1 Skypiercer, 2 Lazurite Jewel
Fisher Jewel :  2 Mega Fishing Fly, 1 Aquaglow Jewel
Psychic Jewel :  2 Black Pearl, 1 Sunspire Jewel
Medicine Jewel :  1 Qurupeco Feather, 1 Aquaglow Jewel
Panacea Jewel :  2 Qurupeco Wing, 2 Bloodrun Jewel
Professor Jewel :  1 Gluehopper, 1 Aquaglow Jewel
Factory Jewel :  10 Huskberry, 1 Aquaglow Jewel
Evade Jewel :  1 Barioth Pelt, 1 Sunspire Jewel
Lightfoot Jewel :  3 Barioth Pelt+, 2 Lazurite Jewel
Crisis Jewel :  1 Barroth Claw, 1 Sunspire Jewel
Peril Jewel :  3 Barroth Claw+, 2 Bloodrun Jewel
Enduring Jewel :  3 Monster Bone S, 1 Aquaglow Jewel
Sprinter Jewel :  1 Barroth Scalp, 1 Sunspire Jewel
Marathon Jewel :  1 Wyvern Stone, 3 Lazurite Jewel
Chamber Jewel :  1 Ceadeus Hide, 1 Sunspire Jewel
Magazine Jewel :  4 Deviljho Fang, 3 Lazurite Jewel
Sniper Jewel :  3 Bird Wyvern Fang, 1 Aquaglow Jewel
Gobbler Jewel :  1 Gobul Hide, 1 Sunspire Jewel
Voracious Jewel :  3 Gobul Spike+, 3 Lazurite Jewel
Carver Jewel :  1 Deviljho Hide, 1 Bloodrun Jewel
Looter Jewel :  1 Azure Dragongem, 3 Lazurite Jewel
Footing Jewel :  1 Diablos Tailcase, 1 Sunspire Jewel
Tectonic Jewel :  1 Diablos Ridge+, 2 Bloodrun Jewel
BBQ Jewel :  10 Raw Meat, 1 Aquaglow Jewel
Jumping Jewel :  1 Amber Tusks+, 1 Bloodrun Jewel
Leaping Jewel :  2 Barioth Claw+, 3 Lazurite Jewel
Draw Jewel :  1 Twisted Horn, 1 Sunspire Jewel
Critical Jewel :  1 Stout Horn, 2 Lazurite Jewel
TrapMaster Jewel :  2 Hydro Hide, 1 Aquaglow Jewel
Workout Jewel :  1 Spongy Hide, 1 Sunspire Jewel
Physique Jewel :  3 Flabby Hide+, 2 Bloodrun Jewel
Tranq Jewel :  1 Deviljho Tail, 1 Bloodrun Jewel
Capture Jewel :  1 Alatreon Tail, 3 Lazurite Jewel
Perception Jewel :  2 Giggi Stinger, 1 Aquaglow Jewel
Charger Jewel :  1 Great Baggi Claw, 1 Sunspire Jewel
Dynamo Jewel :  4 Great Baggi Hide, 3 Lazurite Jewel
Fresh Air Jewel :  5 Airweed, 1 Aquaglow Jewel
Upstream Jewel :  1 Immature Sponge, 1 Aquaglow Jewel
Swimmer Jewel :  1 Big Fin, 1 Aquaglow Jewel
Diver Jewel :  1 Quality Fin, 2 Bloodrun Jewel
Gambit Jewel :  1 Uragaan Jaw, 1 Sunspire Jewel
Checkmate Jewel :  3 Uragaan Carapace, 3 Lazurite Jewel
Resistor Jewel :  1 Alatreon Scute, 1 Lazurite Jewel
Release Jewel :  1 Lagiacrus Horn+, 1 Bloodrun Jewel
Catalyst Jewel :  2 Brkn Skypiercer, 3 Lazurite Jewel
Guts Jewel :  1 HellHunter Tag, 1 Sunspire Jewel
Fortitude Jewel :  3 SoulHunter Tag, 2 Lazurite Jewel
Salvo Jewel :  1 Lagiacrus Claw+, 1 Bloodrun Jewel
Fusillade Jewel :  2 Alatreon Talon, 3 Lazurite Jewel
Dung Jewel :  1 Dung Bomb, 1 Aquaglow Jewel
Torchlight Jewel :  2 Agnaktor Scale, 1 Sunspire Jewel
