Adamance Archbraces : D.Mohran Bloodscale+ x6,D.Mohran Brace+ x1,Brutal Horn+ x2,Commendation G x1, : 6 豪山龍の上紅鱗,1 豪山龍の上腕甲,2 荒々しい龍尖角,1 勇気の証Ｇ
Adamance Helm : Brutal Horn x4,D.Mohran Bloodscale x5,D.Mohran Shell x3,Rathian Plate x1, : 4 荒々しい龍角,5 豪山龍の紅鱗,3 豪山龍の甲岩殻,1 雌火竜の逆鱗
Adamance Plate : D.Mohran Shell x6,Brutal Horn x4,Dah'renstone x2,Sharp Fang x5, : 6 豪山龍の甲岩殻,4 荒々しい龍角,2 豪龍岩,5 とがった牙
Adamance Girdle : D.Mohran Brace x4,D.Mohran Shell x6,D.Mohran Bloodscale x2,Rathalos Plate x1, : 4 豪山龍の腕甲,6 豪山龍の甲岩殻,2 豪山龍の紅鱗,1 火竜の逆鱗
Adamance Pleats : D.Mohran Bloodscale x5,D.Mohran Shell x6,Dragonite Ore x5,Dah'renstone x3, : 5 豪山龍の紅鱗,6 豪山龍の甲岩殻,5 ドラグライト鉱石,3 豪龍岩
Adamance Braces : D.Mohran Bloodscale x6,D.Mohran Brace x1,Earth Dragongem x1,Machalite Ore x3, : 6 豪山龍の紅鱗,1 豪山龍の腕甲,1 大地の龍玉,3 マカライト鉱石
Aelucanth Vertex X : Elder Bfly Beetle x1,Cosmicite Ore x2,Thunderbug x10,Godbug x15, : 1 ドスクワアゲハ,2 コスモライト鉱石,10 雷光虫,15 不死虫
Aelucanth Thorax X : Elder Bfly Beetle x2,Cosmicite Ore x1,Flutterfly x2,Glueglopper x15, : 2 ドスクワアゲハ,1 コスモライト鉱石,2 マボロシチョウ,15 のりこねバッタ
Aelucanth Elytra X : Elder Bfly Beetle x2,Cosmicite Ore x1,Flashbug x15,Stinkhopper x15, : 2 ドスクワアゲハ,1 コスモライト鉱石,15 光蟲,15 ボンバッタ
Aelucanth Crura X : Elder Bfly Beetle x1,Cosmicite Ore x2,Monster Essence x3,Snakebee Larva x15, : 1 ドスクワアゲハ,2 コスモライト鉱石,3 モンスターの特濃,15 ツチハチノコ
Aelucanth Brachia X : Elder Bfly Beetle x1,Cosmicite Ore x2,Gloamgrass Bud x3,Bitterbug x15, : 1 ドスクワアゲハ,2 コスモライト鉱石,3 落陽草の花,15 にが虫
Aelucanth Clypeus X : Elder Bfly Beetle x1,Cosmicite Ore x2,Thunderbug x10,Godbug x15, : 1 ドスクワアゲハ,2 コスモライト鉱石,10 雷光虫,15 不死虫
Aelucanth Pleuron X : Elder Bfly Beetle x2,Cosmicite Ore x1,Flutterfly x2,Glueglopper x15, : 2 ドスクワアゲハ,1 コスモライト鉱石,2 マボロシチョウ,15 のりこねバッタ
Aelucanth Alae X : Elder Bfly Beetle x2,Cosmicite Ore x1,Flashbug x15,Stinkhopper x15, : 2 ドスクワアゲハ,1 コスモライト鉱石,15 光蟲,15 ボンバッタ
Aelucanth Tarsi X : Elder Bfly Beetle x1,Cosmicite Ore x2,Monster Essence x3,Snakebee Larva x15, : 1 ドスクワアゲハ,2 コスモライト鉱石,3 モンスターの特濃,15 ツチハチノコ
Aelucanth Manus X : Elder Bfly Beetle x1,Cosmicite Ore x2,Gloamgrass Bud x3,Bitterbug x15, : 1 ドスクワアゲハ,2 コスモライト鉱石,3 落陽草の花,15 にが虫
Aelucanth Vertex : Butterfly Beetle x1,Gossamite Ore x2,Thunderbug x5,Godbug x10, : 1 オオクワアゲハ,2 レビテライト鉱石,5 雷光虫,10 不死虫
Aelucanth Thorax : Butterfly Beetle x2,Gossamite Ore x1,Killer Beetle x2,Glueglopper x10, : 2 オオクワアゲハ,1 レビテライト鉱石,2 キラビートル,10 のりこねバッタ
Aelucanth Elytra : Butterfly Beetle x2,Gossamite Ore x1,Flashbug x10,Stinkhopper x10, : 2 オオクワアゲハ,1 レビテライト鉱石,10 光蟲,10 ボンバッタ
Aelucanth Crura : Butterfly Beetle x1,Gossamite Ore x2,Monster Fluid x3,Snakebee Larva x10, : 1 オオクワアゲハ,2 レビテライト鉱石,3 モンスターの体液,10 ツチハチノコ
Aelucanth Brachia : Butterfly Beetle x1,Gossamite Ore x2,Pale Extract x5,Bitterbug x10, : 1 オオクワアゲハ,2 レビテライト鉱石,5 アルビノエキス,10 にが虫
Aelucanth Clypeus : Butterfly Beetle x1,Gossamite Ore x2,Thunderbug x5,Godbug x10, : 1 オオクワアゲハ,2 レビテライト鉱石,5 雷光虫,10 不死虫
Aelucanth Pleuron : Butterfly Beetle x2,Gossamite Ore x1,Killer Beetle x2,Glueglopper x10, : 2 オオクワアゲハ,1 レビテライト鉱石,2 キラビートル,10 のりこねバッタ
Aelucanth Alae : Butterfly Beetle x2,Gossamite Ore x1,Flashbug x10,Stinkhopper x10, : 2 オオクワアゲハ,1 レビテライト鉱石,10 光蟲,10 ボンバッタ
Aelucanth Tarsi : Butterfly Beetle x1,Gossamite Ore x2,Monster Fluid x3,Snakebee Larva x10, : 1 オオクワアゲハ,2 レビテライト鉱石,3 モンスターの体液,10 ツチハチノコ
Aelucanth Manus : Butterfly Beetle x1,Gossamite Ore x2,Pale Extract x5,Bitterbug x10, : 1 オオクワアゲハ,2 レビテライト鉱石,5 アルビノエキス,10 にが虫
Agnaktor Helm X : Agnaktor Cortex x4,Fine Agnaktor Fin x1,Fey Wyvern Gem x1, : 4 炎戈竜の重殻,1 炎戈竜の特上ビレ,1 幻鳥竜玉
Agnaktor Mail X : Agnaktor Cortex x2,Fine Agnaktor Fin x1,Vicious Visage x1, : 2 炎戈竜の重殻,1 炎戈竜の特上ビレ,1 強面な大頭骨
Agnaktor Faulds X : Agnaktor Cortex x2,Lrg Wyvern Gem x1,Avian Stoutbone x6, : 2 炎戈竜の重殻,1 大竜玉,6 堅牢な鳥竜骨
Agnaktor Greaves X : Agnaktor Cortex x3,Tetsucabra Cortex x3,Avian Stoutbone x4, : 3 炎戈竜の重殻,3 鬼蛙の重殻,4 堅牢な鳥竜骨
Agnaktor Vambraces X : Agnaktor Cortex x4,B.TetsucabraHardclaw x2,Firecell Stone x4, : 4 炎戈竜の重殻,2 荒鬼蛙の剛爪,4 獄炎石
Agnaktor Helm : Agnaktor Carapace x4,Agnaktor Fin+ x1,Ioprey Hide+ x4, : 4 炎戈竜の堅殻,1 炎戈竜の上ヒレ,4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2,Agnaktor Fin+ x1,Firecell Stone x1, : 2 炎戈竜の堅殻,1 炎戈竜の上ヒレ,1 獄炎石
Agnaktor Faulds : Agnaktor Carapace x2,Wyvern Gem x1,Ioprey Scale+ x6, : 2 炎戈竜の堅殻,1 竜玉,6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3,Brach Carapace x3,Ioprey Scale+ x4, : 3 炎戈竜の堅殻,3 砕竜の堅殻,4 イーオスの上鱗
Agnaktor Vambraces : Agnaktor Carapace x4,B.Tigrex Claw+ x2,Firestone x4, : 4 炎戈竜の堅殻,2 黒轟竜の尖爪,4 紅蓮石
Agnaktor Cap X : Agnaktor Cortex x4,Fine Agnaktor Fin x1,Fey Wyvern Gem x1, : 4 炎戈竜の重殻,1 炎戈竜の特上ビレ,1 幻鳥竜玉
Agnaktor Vest X : Agnaktor Cortex x2,Fine Agnaktor Fin x1,Vicious Visage x1, : 2 炎戈竜の重殻,1 炎戈竜の特上ビレ,1 強面な大頭骨
Agnaktor Coat X : Agnaktor Cortex x2,Lrg Wyvern Gem x1,Avian Stoutbone x6, : 2 炎戈竜の重殻,1 大竜玉,6 堅牢な鳥竜骨
Agnaktor Leggings X : Agnaktor Cortex x3,Tetsucabra Cortex x3,Avian Stoutbone x4, : 3 炎戈竜の重殻,3 鬼蛙の重殻,4 堅牢な鳥竜骨
Agnaktor Guards X : Agnaktor Cortex x4,B.TetsucabraHardclaw x2,Firecell Stone x4, : 4 炎戈竜の重殻,2 荒鬼蛙の剛爪,4 獄炎石
Agnaktor Cap : Agnaktor Carapace x4,Agnaktor Fin+ x1,Ioprey Hide+ x4, : 4 炎戈竜の堅殻,1 炎戈竜の上ヒレ,4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2,Agnaktor Fin+ x1,Firecell Stone x1, : 2 炎戈竜の堅殻,1 炎戈竜の上ヒレ,1 獄炎石
Agnaktor Coat : Agnaktor Carapace x2,Wyvern Gem x1,Ioprey Scale+ x6, : 2 炎戈竜の堅殻,1 竜玉,6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3,Brach Carapace x3,Ioprey Scale+ x4, : 3 炎戈竜の堅殻,3 砕竜の堅殻,4 イーオスの上鱗
Agnaktor Guards : Agnaktor Carapace x4,B.Tigrex Claw+ x2,Firestone x4, : 4 炎戈竜の堅殻,2 黒轟竜の尖爪,4 紅蓮石
Akantor Mask X : Akantor Thickspike x3,Akantor Shard x4,Akantor Cortex x6,Tigrex Mantle x1, : 3 覇竜の重棘,4 覇竜の厚鱗,6 覇竜の重殻,1 轟竜の天鱗
Akantor Aegis X : Akantor Greatfang x3,Akantor Thickspike x2,Akantor Shard x4,Rathalos Mantle x1, : 3 覇竜の極大牙,2 覇竜の重棘,4 覇竜の厚鱗,1 火竜の天鱗
Akantor Cincture X : Akantor Cortex x5,Akantor Greatfang x3,Akantor Flail x1,Rathian Mantle x1, : 5 覇竜の重殻,3 覇竜の極大牙,1 覇竜の重尾,1 雌火竜の天鱗
Akantor Hessian X : Akantor Shard x5,Akantor Shredtalon x5,Akantor Cortex x5,Brach Pallium x1, : 5 覇竜の厚鱗,5 覇竜の剛裂爪,5 覇竜の重殻,1 砕竜の天殻
Akantor Claws X : Akantor Shredtalon x5,Akantor Shard x4,Conquest Sphere x1,Lrg Wyvern Gem x2, : 5 覇竜の剛裂爪,4 覇竜の厚鱗,1 覇導玉,2 大竜玉
Akantor Mask : Akantor Spike x3,Akantor Scale+ x4,Akantor Carapace x6,Tigrex Maw x1, : 3 覇竜の大棘,4 覇竜の上鱗,6 覇竜の堅殻,1 轟竜のアギト
Akantor Aegis : Akantor Tallfang x3,Akantor Spike x2,Akantor Scale+ x4,Rathalos Ruby x1, : 3 覇竜の大牙,2 覇竜の大棘,4 覇竜の上鱗,1 火竜の紅玉
Akantor Cincture : Akantor Carapace x5,Akantor Tallfang x3,Akantor Tail x1,Rathian Ruby x1, : 5 覇竜の堅殻,3 覇竜の大牙,1 覇竜の尻尾,1 雌火竜の紅玉
Akantor Hessian : Akantor Scale+ x5,Akantor Hardclaw x5,Akantor Carapace x5,Brach Gem x1, : 5 覇竜の上鱗,5 覇竜の剛爪,5 覇竜の堅殻,1 砕竜の宝玉
Akantor Claws : Akantor Hardclaw x5,Akantor Scale+ x4,Akantor Gem x1,Gravios Medulla x2, : 5 覇竜の剛爪,4 覇竜の上鱗,1 覇竜の宝玉,2 鎧竜の延髄
Akantor Fangs X : Akantor Thickspike x3,Akantor Shard x4,Akantor Cortex x6,Tigrex Mantle x1, : 3 覇竜の重棘,4 覇竜の厚鱗,6 覇竜の重殻,1 轟竜の天鱗
Akantor Plate X : Akantor Greatfang x3,Akantor Thickspike x2,Akantor Shard x4,Rathalos Mantle x1, : 3 覇竜の極大牙,2 覇竜の重棘,4 覇竜の厚鱗,1 火竜の天鱗
Akantor Sash X : Akantor Cortex x5,Akantor Greatfang x3,Akantor Flail x1,Rathian Mantle x1, : 5 覇竜の重殻,3 覇竜の極大牙,1 覇竜の重尾,1 雌火竜の天鱗
Akantor Boots X : Akantor Shard x5,Akantor Shredtalon x5,Akantor Cortex x5,Brach Pallium x1, : 5 覇竜の厚鱗,5 覇竜の剛裂爪,5 覇竜の重殻,1 砕竜の天殻
Akantor Gauntlets X : Akantor Shredtalon x5,Akantor Shard x4,Conquest Sphere x1,Lrg Wyvern Gem x2, : 5 覇竜の剛裂爪,4 覇竜の厚鱗,1 覇導玉,2 大竜玉
Akantor Fangs : Akantor Spike x3,Akantor Scale+ x4,Akantor Carapace x6,Tigrex Maw x1, : 3 覇竜の大棘,4 覇竜の上鱗,6 覇竜の堅殻,1 轟竜のアギト
Akantor Plate : Akantor Tallfang x3,Akantor Spike x2,Akantor Scale+ x4,Rathalos Ruby x1, : 3 覇竜の大牙,2 覇竜の大棘,4 覇竜の上鱗,1 火竜の紅玉
Akantor Sash : Akantor Carapace x5,Akantor Tallfang x3,Akantor Tail x1,Rathian Ruby x1, : 5 覇竜の堅殻,3 覇竜の大牙,1 覇竜の尻尾,1 雌火竜の紅玉
Akantor Boots : Akantor Scale+ x5,Akantor Hardclaw x5,Akantor Carapace x5,Brach Gem x1, : 5 覇竜の上鱗,5 覇竜の剛爪,5 覇竜の堅殻,1 砕竜の宝玉
Akantor Gauntlets : Akantor Hardclaw x5,Akantor Scale+ x4,Akantor Gem x1,Gravios Medulla x2, : 5 覇竜の剛爪,4 覇竜の上鱗,1 覇竜の宝玉,2 鎧竜の延髄
Alloy Helm S : Carbalite Ore x1,Gossamite Ore x1,Dragonite Ore x5,Ice Crystal x3, : 1 カブレライト鉱石,1 レビテライト鉱石,5 ドラグライト鉱石,3 氷結晶
Alloy Mail S : Carbalite Ore x2,Gossamite Ore x2,Machalite Ore x7,Iron Ore x10, : 2 カブレライト鉱石,2 レビテライト鉱石,7 マカライト鉱石,10 鉄鉱石
Alloy Coil S : Carbalite Ore x2,Gossamite Ore x1,Dragonite Ore x5,Ice Crystal x5, : 2 カブレライト鉱石,1 レビテライト鉱石,5 ドラグライト鉱石,5 氷結晶
Alloy Greaves S : Carbalite Ore x3,Gossamite Ore x3,Firestone x3,Ice Crystal x5, : 3 カブレライト鉱石,3 レビテライト鉱石,3 紅蓮石,5 氷結晶
Alloy Vambraces S : Carbalite Ore x3,Gossamite Ore x2,Machalite Ore x7,Earth Crystal x7, : 3 カブレライト鉱石,2 レビテライト鉱石,7 マカライト鉱石,7 大地の結晶
Alloy Cap S : Carbalite Ore x1,Gossamite Ore x1,Dragonite Ore x5,Ice Crystal x3, : 1 カブレライト鉱石,1 レビテライト鉱石,5 ドラグライト鉱石,3 氷結晶
Alloy Vest S : Carbalite Ore x2,Gossamite Ore x2,Machalite Ore x7,Iron Ore x10, : 2 カブレライト鉱石,2 レビテライト鉱石,7 マカライト鉱石,10 鉄鉱石
Alloy Coat S : Carbalite Ore x2,Gossamite Ore x1,Dragonite Ore x5,Ice Crystal x5, : 2 カブレライト鉱石,1 レビテライト鉱石,5 ドラグライト鉱石,5 氷結晶
Alloy Leggings S : Carbalite Ore x3,Gossamite Ore x3,Firestone x3,Ice Crystal x5, : 3 カブレライト鉱石,3 レビテライト鉱石,3 紅蓮石,5 氷結晶
Alloy Guards S : Carbalite Ore x3,Gossamite Ore x2,Machalite Ore x7,Earth Crystal x7, : 3 カブレライト鉱石,2 レビテライト鉱石,7 マカライト鉱石,7 大地の結晶
Alloy Helm : Machalite Ore x3,Earth Crystal x2,Iron Ore x3, : 3 マカライト鉱石,2 大地の結晶,3 鉄鉱石
Alloy Mail : Machalite Ore x3,Monster Bone S x2,Iron Ore x2, : 3 マカライト鉱石,2 竜骨【小】,2 鉄鉱石
Alloy Coil : Machalite Ore x2,Monster Bone S x2,Iron Ore x3, : 2 マカライト鉱石,2 竜骨【小】,3 鉄鉱石
Alloy Greaves : Machalite Ore x4,Earth Crystal x2,Iron Ore x2, : 4 マカライト鉱石,2 大地の結晶,2 鉄鉱石
Alloy Vambraces : Machalite Ore x2,Earth Crystal x2,Iron Ore x4, : 2 マカライト鉱石,2 大地の結晶,4 鉄鉱石
Alloy Cap : Machalite Ore x3,Earth Crystal x2,Iron Ore x3, : 3 マカライト鉱石,2 大地の結晶,3 鉄鉱石
Alloy Vest : Machalite Ore x3,Monster Bone S x2,Iron Ore x2, : 3 マカライト鉱石,2 竜骨【小】,2 鉄鉱石
Alloy Coat : Machalite Ore x2,Monster Bone S x2,Iron Ore x3, : 2 マカライト鉱石,2 竜骨【小】,3 鉄鉱石
Alloy Leggings : Machalite Ore x4,Earth Crystal x2,Iron Ore x2, : 4 マカライト鉱石,2 大地の結晶,2 鉄鉱石
Alloy Guards : Machalite Ore x2,Earth Crystal x2,Iron Ore x4, : 2 マカライト鉱石,2 大地の結晶,4 鉄鉱石
Amagi Hachigane : Accolade x1,D.Mohran Bloodscale+ x5,Brutal Horn+ x4,D.Mohran Carapace x5, : 1 希望の証,5 豪山龍の上紅鱗,4 荒々しい龍尖角,5 豪山龍の堅岩殻
Amagi Muneate : Accolade x1,D.Mohran Carapace x6,Brutal Horn+ x4,Elder Dragon Blood x1, : 1 希望の証,6 豪山龍の堅岩殻,4 荒々しい龍尖角,1 古龍の血
Amagi Koshiate : Accolade x1,D.Mohran Brace+ x4,D.Mohran Carapace x6,D.Mohran Bloodscale+ x5, : 1 希望の証,4 豪山龍の上腕甲,6 豪山龍の堅岩殻,5 豪山龍の上紅鱗
Amagi Hakama : Accolade x1,D.Mohran Bloodscale+ x5,D.Mohran Carapace x6,Earth Dragongem x1, : 1 希望の証,5 豪山龍の上紅鱗,6 豪山龍の堅岩殻,1 大地の龍玉
Amagi Kote : Accolade x1,D.Mohran Bloodscale+ x6,D.Mohran Brace+ x1,Earth Dragongem x1, : 1 希望の証,6 豪山龍の上紅鱗,1 豪山龍の上腕甲,1 大地の龍玉
Amplifeathers :
Arc Helm X : S.Magala Hardhorn x2,S.Magala Shard x4,Lrg Wyvern Gem x1,Cosmicite Ore x2, : 2 天廻龍の剛角,4 天廻龍の厚鱗,1 大竜玉,2 コスモライト鉱石
Arc Mail X : S.Magala Shard x3,S.Magala Lightwing x2,S.Magala Cortex x4,Meldspar Ore x3, : 3 天廻龍の厚鱗,2 天廻龍の光虹翼,4 天廻龍の重殻,3 メランジェ鉱石
Arc Faulds X : S.Magala Lightwing x2,S.Magala Cortex x5,S.Magala Phosgem x1,S.Magala Lash x1, : 2 天廻龍の光虹翼,5 天廻龍の重殻,1 天廻龍の光玉,1 天廻龍の靭尾
Arc Greaves X : S.Magala Cortex x5,S.Magala Shard x4,S.Magala Purifier x5,Monster Slogbone x6, : 5 天廻龍の重殻,4 天廻龍の厚鱗,5 天廻龍の剛浄爪,6 重竜骨
Arc Vambraces X : S.Magala Cortex x5,S.Magala Purifier x5,S.Magala Prismwing+ x2,S.Magala Mantle x1, : 5 天廻龍の重殻,5 天廻龍の剛浄爪,2 天廻龍の上虹翼,1 天廻龍の天鱗
Arc Helm S : S.Magala Horn+ x2,S.Magala Scale+ x4,S.Magala Shell x4,Yoldspar Ore x2, : 2 天廻龍の尖角,4 天廻龍の上鱗,4 天廻龍の甲殻,2 フルクライト鉱石
Arc Mail S : S.Magala Scale+ x3,S.Magala Phosgem x1,Pure Scale x1,Fucium Ore x3, : 3 天廻龍の上鱗,1 天廻龍の光玉,1 純白の龍鱗,3 ユニオン鉱石
Arc Faulds S : S.Magala Prismwing+ x2,S.Magala Carapace x5,S.Magala Plate x1,S.Magala Tail x1, : 2 天廻龍の上虹翼,5 天廻龍の堅殻,1 天廻龍の逆鱗,1 天廻龍の尻尾
Arc Greaves S : S.Magala Carapace x5,S.Magala Scale+ x4,S.Magala Caress+ x5,Monster Hardbone x6, : 5 天廻龍の堅殻,4 天廻龍の上鱗,5 天廻龍の鋭浄爪,6 堅竜骨
Arc Vambraces S : S.Magala Caress+ x5,S.Magala Prismwing+ x2,S.Magala Carapace x5,S.Magala Prismwing x2, : 5 天廻龍の鋭浄爪,2 天廻龍の上虹翼,5 天廻龍の堅殻,2 天廻龍の虹翼
Arc Cap X : S.Magala Hardhorn x2,S.Magala Shard x4,Lrg Wyvern Gem x1,Cosmicite Ore x2, : 2 天廻龍の剛角,4 天廻龍の厚鱗,1 大竜玉,2 コスモライト鉱石
Arc Vest X : S.Magala Shard x3,S.Magala Lightwing x2,S.Magala Cortex x4,Meldspar Ore x3, : 3 天廻龍の厚鱗,2 天廻龍の光虹翼,4 天廻龍の重殻,3 メランジェ鉱石
Arc Coat X : S.Magala Lightwing x2,S.Magala Cortex x5,S.Magala Phosgem x1,S.Magala Lash x1, : 2 天廻龍の光虹翼,5 天廻龍の重殻,1 天廻龍の光玉,1 天廻龍の靭尾
Arc Leggings X : S.Magala Cortex x5,S.Magala Shard x4,S.Magala Purifier x5,Monster Slogbone x6, : 5 天廻龍の重殻,4 天廻龍の厚鱗,5 天廻龍の剛浄爪,6 重竜骨
Arc Guards X : S.Magala Cortex x5,S.Magala Purifier x5,S.Magala Prismwing+ x2,S.Magala Mantle x1, : 5 天廻龍の重殻,5 天廻龍の剛浄爪,2 天廻龍の上虹翼,1 天廻龍の天鱗
Arc Cap S : S.Magala Horn+ x2,S.Magala Scale+ x4,S.Magala Shell x4,Yoldspar Ore x2, : 2 天廻龍の尖角,4 天廻龍の上鱗,4 天廻龍の甲殻,2 フルクライト鉱石
Arc Vest S : S.Magala Scale+ x3,S.Magala Phosgem x1,Pure Scale x1,Fucium Ore x3, : 3 天廻龍の上鱗,1 天廻龍の光玉,1 純白の龍鱗,3 ユニオン鉱石
Arc Coat S : S.Magala Prismwing+ x2,S.Magala Carapace x5,S.Magala Plate x1,S.Magala Tail x1, : 2 天廻龍の上虹翼,5 天廻龍の堅殻,1 天廻龍の逆鱗,1 天廻龍の尻尾
Arc Leggings S : S.Magala Carapace x5,S.Magala Scale+ x4,S.Magala Caress+ x5,Monster Hardbone x6, : 5 天廻龍の堅殻,4 天廻龍の上鱗,5 天廻龍の鋭浄爪,6 堅竜骨
Arc Guards S : S.Magala Caress+ x5,S.Magala Prismwing+ x2,S.Magala Carapace x5,S.Magala Prismwing x2, : 5 天廻龍の鋭浄爪,2 天廻龍の上虹翼,5 天廻龍の堅殻,2 天廻龍の虹翼
Arc Helm : S.Magala Horn x2,S.Magala Scale x3,Pure Scale x2,Lightcrystal x2, : 2 天廻龍の角,3 天廻龍の鱗,2 純白の龍鱗,2 ライトクリスタル
Arc Mail : S.Magala Scale x3,S.Magala Prismwing x2,S.Magala Shell x3,S.Magala Tail x1, : 3 天廻龍の鱗,2 天廻龍の虹翼,3 天廻龍の甲殻,1 天廻龍の尻尾
Arc Faulds : S.Magala Horn x1,S.Magala Prismwing x2,S.Magala Shell x4,Lightcrystal x2, : 1 天廻龍の角,2 天廻龍の虹翼,4 天廻龍の甲殻,2 ライトクリスタル
Arc Greaves : S.Magala Shell x3,S.Magala Scale x1,S.Magala Plate x1,Monster Bone+ x4, : 3 天廻龍の甲殻,1 天廻龍の鱗,1 天廻龍の逆鱗,4 上竜骨
Arc Vambraces : S.Magala Caress x2,S.Magala Scale x2,S.Magala Shell x4,Gossamite Ore x3, : 2 天廻龍の浄爪,2 天廻龍の鱗,4 天廻龍の甲殻,3 レビテライト鉱石
Arc Cap : S.Magala Horn x2,S.Magala Scale x3,Pure Scale x2,Lightcrystal x2, : 2 天廻龍の角,3 天廻龍の鱗,2 純白の龍鱗,2 ライトクリスタル
Arc Vest : S.Magala Scale x3,S.Magala Prismwing x2,S.Magala Shell x3,S.Magala Tail x1, : 3 天廻龍の鱗,2 天廻龍の虹翼,3 天廻龍の甲殻,1 天廻龍の尻尾
Arc Coat : S.Magala Horn x1,S.Magala Prismwing x2,S.Magala Shell x4,Lightcrystal x2, : 1 天廻龍の角,2 天廻龍の虹翼,4 天廻龍の甲殻,2 ライトクリスタル
Arc Leggings : S.Magala Shell x3,S.Magala Scale x1,S.Magala Plate x1,Monster Bone+ x4, : 3 天廻龍の甲殻,1 天廻龍の鱗,1 天廻龍の逆鱗,4 上竜骨
Arc Guards : S.Magala Caress x2,S.Magala Scale x2,S.Magala Shell x4,Gossamite Ore x3, : 2 天廻龍の浄爪,2 天廻龍の鱗,4 天廻龍の甲殻,3 レビテライト鉱石
Archer's Turban : Fang Coin x3,Hunter King Coin x3,Inferno Sac x4, : 3 牙竜のコイン,3 狩猟王のコイン,4 爆炎袋
Archer's Girdle : Flying Coin x2,Hunter King Coin x3,Thunder Sac x4, : 2 飛竜のコイン,3 狩猟王のコイン,4 電撃袋
Archer's Belt : Flying Coin x3,Hunter King Coin x3,Torrent Sac x4, : 3 飛竜のコイン,3 狩猟王のコイン,4 大水袋
Archer's Espadrilles : Fang Coin x2,Hunter King Coin x3,Earth Dragongem x1, : 2 牙竜のコイン,3 狩猟王のコイン,1 大地の龍玉
Archer's Gauntlets : Fang Coin x2,Hunter King Coin x3,Freezer Sac x4, : 2 牙竜のコイン,3 狩猟王のコイン,4 凍結袋
Armament Jacket : Armament Invitation x2,S.Queen Pectus x1,Seltas Shell x3,S.Queen Extract x1, : 2 武装への招待状,1 重甲虫の胸殻,3 徹甲虫の甲殻,1 重甲エキス
