Antidote Jewel : Aquaglow Jewel x1, Wroggi Hide x2 : 水光原珠 x1, フロギィの皮 x2
KO Jewel : Sunspire Jewel x1, Diablos Ridge x2, Blossom Cricket x2 : 陽翔原珠 x1, 角竜の背甲 x2, ハナスズムシ x2
Drain Jewel : Sunspire Jewel x1, Barroth Claw x1, Monster Bone M x1 : 陽翔原珠 x1, 土砂竜の爪 x1, 竜骨【中】 x1
Drain Jewel : Lazurite Jewel x1, Nargacuga Tailspike x1, Piscine Coin x1 : 瑠璃原珠 x1, 迅竜の尾棘 x2, 水竜のコイン x1
Physique Jewel : Aguaglow Jewel x1, King's Beak x1, Wroggi Scale x2 : 水光原珠 x1, 王者のクチバシ x1, フロギィの鱗 x2
Physique Jewel : Lazurite Jewel x1, Agnaktor Fin+ x1, G.Wroggi Hide+ x2 : 瑠璃原珠 x1, 炎戈竜の上ヒレ x1, 毒狗竜の上皮 x2
Earplug Jewel : Sunspire Jewel x1, Rathian Webbing x1, Lagombi Ear x2 : 陽翔原珠 x1, 雌火竜の翼膜 x1, 白兎獣の耳 x2
Earplug Jewel : Lazurite Jewel x1, Zinogre Carapace x2, Uncanny Hide+ x2 : 瑠璃原珠 x1, 雷狼竜の堅殻 x2, 不気味な上皮 x2
Wind Res Jewel : Sunspire Jewel x1, Diablos Shell x1, Dragonite Ore x2 : 陽翔原珠 x1, 角竜の甲殻 x1, ドラグライト鉱石 x2
Wind Res Jewel : Bloodrun Jewel x1, Indigo Tusks+ x1, Carbalite Ore x3 : 修羅原珠 x1, 群青色の鋭牙 x1, カブレライト鉱石 x3
Footing Jewel : Aquaglow Jewel x1, Tertile Mud x1 : 水光原珠 x1, 肥沃なドロ x1
Tectonic Jewel : Sunspire Jewel x1, Nibelsnarf Scalp x1, Carpenterbug x2 : 陽翔原珠 x1, 潜口竜の頭殻 x1, セッチャクロアリ x2
Heat Res Jewel : Aquaglow Jewel x1, Ice Crystal x3 : 水光原珠 x1, 氷結晶 x3
Cold Res Jewel : Aquaglow Jewel x1, Baggi Scale x2 : 水光原珠 x1, バギィの鱗 x2
Sprinter Jewel : Aqauglow Jewel x1, R.Ludroth Claw x1, Mega Dash Juice x2 : 陽翔原珠 x1, 水獣の爪 x1, 強走薬グレート x2
Sprinter Jewel : Lazurite Jewel x1, Brach Carapace x1, Spongy Hide+ x2 : 瑠璃原珠 x1, 砕竜の堅殻 x1, 海綿質の上皮 x2
Refresh Jewel : Sunspire Jewel x1, Rathian Scale x1, Monster Bone M x2 : 陽翔原珠 x1, 雌火竜の鱗 x1, 竜骨【中】 x2
Refresh Jewel : Bloodrun Jewel x1, Nargacuga Fang+ x1, Monster Keenbone x2 : 修羅原珠 x1, 迅竜の鋭牙 x1, 尖竜骨 x2
Evasion Jewel : Sunspire Jewel x1, Lagom Plastron x2, Killer Beetle x2 : 陽翔原珠 x1, 白兎獣の腹甲 x2, キラビートル x2
Evasion Jewel : Lazurite Jewel x1, S.Barioth Pelt+ x2, Lagombi Pelt+ x2 : 瑠璃原珠 x1, 風牙竜の上毛皮 x2, 白兎獣の剛毛 x2
Jumping Jewel : Bloodrun Jewel x1, Nargacuga Pelt+ x2, Bnahabra Wing x2 : 修羅原珠 x1, 迅竜の上黒毛 x2, 飛甲虫の羽 x2
Slider Jewel : Adamant Orb x1, Lagombi Auricle x2 : 金剛原珠 x1, 白兎獣の地獄耳 x2
Glider Jewel : Adamant Orb x1, Crushing Fang x2, Narga Razor x1 : 金剛原珠 x1, 重厚な牙 x2, 迅竜の剛刃翼 x1
Ninja Jewel : Aquaglow Jewel x1, Smoke Bomb x1 : 水光原珠 x1, けむり玉 x1
IronWall Jewel : Aquaglow Jewel x1, Barroth Shell x2 : 水光原珠 x1, 土砂竜の甲殻 x2
IronWall Jewel : Sunspire Jewel x1, Agnaktor Beak x1, Agnaktor Shell x3 : 陽翔原珠 x1, 炎戈竜の碇口 x1, 炎戈竜の甲殻 x3
Shield Jewel : Sunspire Jewel x1, Firestone x2 : 陽翔原珠 x1, 紅蓮石 x2
Shield Jewel : Bloodrun Jewel x1, G.Agnak Carapace x1, Firecell Stone x3 : 修羅原珠 x1, 凍戈竜の堅殻 x1, 獄炎石 x3
Disabler Jewel : Sunspire Jewel x1, Bnahabra Wing x3, Bnahabra Spine x2 : 陽翔原珠 x1, 飛甲虫の羽 x3, 飛甲虫の麻痺針 x2
Disabler Jewel : Bloodrun Jewel x1, Gigginox Claw+ x1, Monster Broth x2 : 修羅原珠 x1, 毒怪竜の鋭爪 x1, モンスターの濃汁 x2
Blaze Jewel : Sunspire Jewel x1, Rathian Scale x2 : 陽翔原珠 x1, 雌火竜の鱗 x2
Blaze Jewel : Adamant Orb x1, Conflagrant Sac x1, Volvidon Cortex x2 : 金剛原珠 x1, 業炎袋 x1, 赤甲獣の重殻 x2
Stream Jewel : Sunspire Jewel x1, R.Ludroth Crest x1 : 陽翔原珠 x1, 水獣のトサカ x1
Stream Jewel : Adamant Orb x1, Gobul Kingwhiskr x1, Plesioth Fang+ x2 : 金剛原珠 x1, 灯魚竜の大王ヒゲ x1, 水竜の鋭牙 x2
Bolt Jewel : Sunspire Jewel x1, Gigginox Claw x1, Thunderbug x2 : 陽翔原珠 x1, 毒怪竜の爪 x1, 雷光虫 x2
Blot Jewel : Adamant Orb x1, Lighning Sac x1, Lagiacrus Talon x2 : 金剛原珠 x1, 雷電袋 x1, 海竜の剛爪 x2
Frost Jewel : Sunspire Jewel x1, G.Baggi Hide x2 : 陽翔原珠 x1, 眠狗竜の皮 x2
Frost Jewel : Adamant Orb x1, J.Barroth Lash x1, Lagombi Fur x2 : 金剛原珠 x1, 氷砕竜の靭尾 x1, 白兎獣の豪剛毛 x2
Dragon Jewel : Sunspire Jewel x1, Barioth Claw x2, Dragonfell Berry x2 : 陽翔原珠 x1, 氷牙竜の爪 x2, 龍殺しの実 x2
Dragon Jewel : Adamant Orb x1, Dracophage Bug x2, S.Zin Dragonhair x2 : 金剛原珠 x1, 蝕龍蟲 x2, 獄狼竜の龍毛 x2
Element Jewel : Adamant Orb x1, Alatreon Scute x2 : 金剛原珠 x1, 煌黒龍の堅逆殻 x2
Element Jewel : Adamant Orb x1, Alatreon Talon x2, I.Lagi D-Shocker x1 : 金剛原珠 x1, 煌黒龍の尖爪 x2, 白海竜の雷電殻 x1
Fire Res Jewel : Aquaglow Jewel x1, Fire Herb x5 : 水光原珠 x1, 火薬草 x5
Nul-Fire Jewel : Sunspire Jewel x1, Flame Sac x2, Monster Bone L x3 : 陽翔原珠 x1, 火炎袋 x2, 竜骨【大】 x3
Water Res Jewel : Aquaglow Jewel x1, Whetfish x5 : 水光原珠 x1, キレアジ x5
Nul-Water Jewel : Sunspire Jewel x1, Agua Sac x2, Monster Bone L x3 : 陽翔原珠 x1, 水袋 x2, 竜骨【大】 x3
ThunderRes Jewel : Aquaglow Jewel x1, Thunderbug x3 : 水光原珠 x1, 雷光虫 x3
Nul-Thundr Jewel : Sunspire Jewel x1, Shell Shocker x1, Monster Bone L x1 : 陽翔原珠 x1, 海竜の背電殻 x1, 竜骨【大】 x1
Ice Res Jewel : Aquaglow Jewel x1, Ice Crystal x5 : 水光原珠 x1, 氷結晶 x5
Nul-Ice Jewel : Sunspire Jewel x1, Lagombi Claw x2, Monster Bone L x3 : 陽翔原珠 x1, 白兎獣の氷爪 x2, 竜骨【大】 x3
DragonRes Jewel : Aquaglow Jewel x1, Dragonfell Berry x2 : 水光原珠 x1, 龍殺しの実 x2
Nul-Dragon Jewel : Bloodrun Jewel x1, Dragonbone Relic x1, Monster Keenbone x2 : 修羅原珠 x1, いにしえの龍骨 x1, 尖竜骨 x2
Razor Jewel : Bloodrun Jewel x1, Rathalos Scale+ x1, Zinogre Carapace x1 : 陽翔原珠 x1, 火竜の上鱗 x1, 雷狼竜の堅殻 x1
Razor Jewel : Lazurite Jewel x1, Agnaktoer Fin+ x1, Fearsome Maw x2 : 瑠璃原珠 x1, 炎戈竜の上ヒレ x1, おそろしいクチ x2
Handicraft Jwl : Adamant Orb x1, Deific Fange x1, Agnaktor Claw+ x2 : 金剛原珠 x1, 神々しい龍牙 x1, 炎戈竜の鋭爪 x2
Handicraft Jwl : Adamant Orb x1, Miralis Fireclaw x1, Deviljho Gem x1 : 金剛原珠 x1, 煉黒龍の炎爪 x1, 恐暴竜の宝玉 x1
Fencer Jewel : Adamant Orb x1, G.Rathian Cortex x2, Nargacuga Lash x1 : 金剛原珠 x1, 金火竜の重殻 x2, 迅竜の靭尾 x1
Fencer Jewel : Adamant Orb x1, A.Lagi D-shocker x2, A.Rathalos Lash x1 : 金剛原珠 x1, 冥海竜の雷電殻 x2, 蒼火竜の靭尾 x1
Grinder Jewel : Aquaglow Jewel x1, G.Jaggi Claw x1, Machalite Ore x1 : 水光原珠 x1, 狗竜の爪 x1, マカライト鉱石 x1
Draw Jewel : Adamant Orb x1, Stout Horn x1, Diablos Carapace x2 : 金剛原珠 x1, 堅牢なねじれた角 x1, 角竜の堅殻 x2
Draw Jewel : Adamant Orb x1, Diablos Chine x1 : J.Barroth Cortex x1 : 金剛原珠 x1, 角竜の重甲 x1, 氷砕竜の重殻 x1
Gambit Jewel : Adamant Orb x1, Uragaan Scute+ x1, G.Plesio Shard x2 : 金剛原珠 x1, 爆鎚竜の重耐熱殻 x1, 翠水竜の厚鱗 x2
Gambit Jewel : Adamant Orb x1, Blackcurl Horn+ x1, Barioth Carapace x1 : 金剛原珠 x1, 堅牢な黒巻き角 x1, 氷牙竜の堅殻 x1
Quickload Jwl : Sunspire Jewel x1, Pelagicite Ore x3 : 陽翔原珠 x1, シーブライト鉱石 x3
Quickload Jwl : Sunspire Jewel x1, Amber Tusk x2, Lightcrystal x2 : 陽翔原珠 x1, 琥珀色の牙 x2, ライトクリスタル x2
Capacity Jewel : Adamant Orb x1, G.Ceadeus Coat x1, Agnaktor Cortex x2 : 金剛原珠 x1, 皇海龍の重甲皮 x1, 炎戈竜の重殻 x2
Capacity Jewel : Adamant Orb x1, G.Ceadeus Shard x1, Lrg Wyvern Stone x1 : 金剛原珠 x1, 皇海龍の厚鱗 x1, 大竜玉 x1
Salvo Jewel : Adamant Orb x1, Rathalos Fellwing x2 : 金剛原珠 x1, 火竜の剛翼 x2
Salvo Jewel : Adamant Orb x1, A.Lagi Hardhorn x2, A.Rathalos Wing x1 : 金剛原珠 x1, 冥海竜の剛角 x2, 蒼火竜の翼 x1
Absorber Jewel : Aquaglow Jewel x1, Barroth Scalp x1, R.Ludroth Crest x1 : 水光原珠 x1, 土砂竜の頭殻 x1, 水獣のトサカ x1
Absorber Jewel : Lazurite Jewel x1, Duram Tailcase+ x2, B.Diablos Ridge+ x2 : 瑠璃原珠 x1, 尾槌竜の堅尾甲 x2, 黒角竜の堅甲 x2
Sniper Jewel : Aquaglow Jewel x1, Unknown Skull x2 : 水光原珠 x1, なぞの頭骨 x2
Forceshot Jwl : Sunspire Jewel x1, Monster Bone+ x2, Popfish x5 : 陽翔原珠 x1, 上竜骨 x2, はじけイワシ x5
Forceshot Jwl : Lazurite Jewel x1, Agnak Carapace x2, Monster Keenbone x2 : 瑠璃原珠 x1, 炎戈竜の堅殻 x2, 尖竜骨 x2
Pierce Jewel : Sunspire Jewel x1, Uragaan Jaw x1, Hercudrome x2 : 陽翔原珠 x1, 爆鎚竜の顎 x1, ドスヘラクレス x2
Pierce Jewel : Lazurite Jewel x1, Uragaan Ruby x1, King Scarab x2 : 瑠璃原珠 x1, 爆鎚竜の紅玉 x1, 王族カナブン x2
Pellet Jewel : Sunspire Jewel x1, Isisium x2, Wyvern Fang x5 : 陽翔原珠 x1, アイシスメタル x2, 竜の牙 x5
Pellet Jewel : Lazurite Jewel x1, S.Uragaan Scute x1, Gracium x2 : 瑠璃原珠 x1, 鋼鎚竜の耐熱殻 x1, グラシスメタル x2
ShotPlus Jewel : Aquaglow Jewel x1, Monster Bone M x2 : 水光原珠 x1, 竜骨【中】 x2
ShotPlus Jewel : Sunspire Jewel x1, Monster Bone+ x2, Barroth Ridge x1 : 陽翔原珠 x1, 上竜骨 x2, 土砂竜の背甲 x1
PiercePlus Jwl : Sunspire Jewel x1, Dragonite Ore x2 : 陽翔原珠 x1, ドラグライト鉱石 x2
PelletPlus Jwl : Sunspire Jewel x1, Nibelsnarf Shell x2 : 陽翔原珠 x1, 潜口竜の甲殻 x2
CragPlus Jwl : Sunspire Jewel x1, Rathalos Shell x2 : 陽翔原珠 x1, 火竜の甲殻 x2
ClustPlus Jwl : Sunspire Jewel x1, Uragaan Scale x2 : 陽翔原珠 x1, 爆鎚竜の鱗 x2
SlicePlus Jwl : Aquaglow Jewel x1, Lagombi Pelt x2 : 水光原珠 x1, 白兎獣の毛 x2
SlimePlus Jwl : Bloodrun Jewel x1, Brach Ebonshell x2, Fire Herb x4 : 修羅原珠 x1, 砕竜の黒曜甲 x2, 火炎草 x4
PoisonCoat Jwl : Aquaglow Jewel x1, Poison Sac x1 : 水光原珠 x1, 毒袋 x1
ParaCoat Jwl : Sunspire Jewel x1, Paralysis Sac x1 : 陽翔原珠 x1, 麻痺袋 x1
ParaCoat Jwl : Bloodrun Jewel x1, B.Giggi Hide+ x1, Omniplegia Sac x1 : 修羅原珠 x1, 電怪竜の上皮 x1, 強力麻痺袋 x1
SleepCoat Jwl : Sunspire Jewel x1, Sleep Sac x1  陽翔原珠 x1, 睡眠袋 x1
PowerCoat Jwl : Sunspire Jewel x1, Uroktor Scale x2, Nitroshroom x5 : 陽翔原珠 x1, 溶岩獣の鱗 x2, ニトロダケ x5
PowerCoat Jwl : Bloodrun Jewel x1, Uroktor Scale+ x1, Lava Nugget x1 : 修羅原珠 x1, 溶岩獣の上鱗 x1, 溶岩塊 x1
RangeCoat Jwl : Aquaglow Jewel x1, R.Ludroth Scale x1, Immature Sponge x1 : 水光原珠 x1, 水獣の鱗 x1, 未熟な海綿質 x1
DrainCoat Jwl : Sunspire Jewel x1, Wanchovy x2, Monster Bone L x1 : 陽翔原珠 x1, シンドイワシ x2, 竜骨【大】 x1
SlimeCoat Jwl : Bloodrun Jewel x1, Brach Carapace x2, Lava Nugget x1 : 修羅原珠 x1, 砕竜の堅殻 x2, 溶岩塊 x1
Sonorous Jewel : Aquaglow Jewel x1, Strange Beak x1, Field Horn x1 : 水光原珠 x1, へんなクチバシ x1, 角笛 x1
Artillery Jwl : Sunspire Jewel x1, Isisium x1, Barrel Bomb L+ x2 : 陽翔原珠 x1, アイシスメタル x1, 大タル爆弾Ｇ x2
Bombardier Jwl : Aquaglow Jewel x1, Flintstone x1, G.Jaggi Hide x1 : 水光原珠 x1, 火打石 x1, 狗竜の皮 x1
Medicine Jewel : Aquaglow Jewel x1, Qurupeco Scale x1, Kelbi Horn x2 : 水光原珠 x1, 彩鳥の鱗 x1, ケルビの角 x2
Medicine Jewel : Bloodrun Jewel x1, Qurupeco Scale+ x1, Ancient Potion x1 : 修羅原珠 x1, 彩鳥の上鱗 x1, いにしえの秘薬 x1
Friendship Jwl : Aquaglow Jewel x1, Queupeco Feather x1 : 水光原珠 x1, 彩鳥の羽根 x1
Friendship Jwl : Bloodrun Jewel x1, C.Peco Wing x1, Lifepowder x2 : 修羅原珠 x1, 紅彩鳥の翼 x1, 生命の粉塵 x2
Enduring Jewel : Aquaglow Jewel x1, Big Fin x1 : 水光原珠 x1, 大きなヒレ x1
Hungerless Jwl : Aquaglow Jewel x1, Monster Bone L x1, Well-done Steak x1 : 水光原珠 x1, 竜骨【大】 x1, こんがり肉 x1
Metabolism Jwl : Aquaglow Jewel x1, Monster Bone M x1 : 水光原珠 x1, 竜骨【中】 x1
Gobbler Jewel : Sunspire Jewel x1, Nibelsnarf Hide x1, Arzuros Brace x2 : 陽翔原珠 x1, 潜口竜の皮 x1, 青熊獣の腕甲 x2
Gobbler Jewel : Lazurite Jewel x1, Deviljho Fang x2, S.Urag Carapace x2 : 瑠璃原珠 x1, 恐暴竜の大牙 x2, 爆鎚竜の堅殻 x2
Meateater Jwl : Adamant Orb x1, Imperial Frill x2 : 金剛原珠 x1, 偉大なエリマキ x2
Meatlover Jwl : Adamant Orb x1, Imperial Frill x2, Dazzling Fluid x1 : 金剛原珠 x1, 偉大なエリマキ x2, 光り輝く体液 x1
Professor Jwl : Aquaglow Jewel x1, Book of Combos 1 x1, Warm Pelt x1 : 水光原珠 x1, 調合書①入門編 x1, 暖かい毛皮 x1
Factory Jewel : Aquaglow Jewel x1, Small Goldenfish x1 : 水光原珠 x1, 小金魚 x1
Gathering Jwl : Aquaglow Jewel x1, Kelbi Horn x1 : 水光原珠 x1, ケルビの角 x1
Spree Jewel : Aquaglow Jewel x1, Altaroth Stomach x1, Monster Bone S x2 : 水光原珠 x1, 甲虫の腹袋 x1, 竜骨【小】 x2
Blessing Jewel : Aquaglow Jewel x1, Iron Ore x2 : 水光原珠 x1, 鉄鉱石 x2
Honeybee Jewel : Adamant Orb x1, Arzuros Cortex x2 : 金剛原珠 x1, 青熊獣の重殻 x2
Queenbee Jewel : Adamant Orb x1, Arzuros Cortex x3, Narga Razor+ x1 : 金剛原珠 x1, 青熊獣の重殻 x3, 迅竜の剛刃翼 x1
Charmer Jewel : Adamant Orb x1, Ghostly Quartz x3, Rath Gleem x1 : 金剛原珠 x1, 霊水晶 x3, 火竜の煌液 x1
Fate Jewel : Adamant Orb x1, Crushing Fang x2, Silver Egg x2 :  金剛原珠 x1, 重厚な牙 x1, 銀のたまご x2
Fate Jewel : Lazurite Jewel x1, G.Rath Surspike x2, Golden Egg x2 : 瑠璃原珠 x1, 金火竜の上棘 x2, 金のたまご x2
Carver Jewel : Adamant Orb x1, Deviljho Coat x1 : 金剛原珠 x1, 恐暴竜の厚黒皮 x1
Carver Jewel : Adamant Orb x1, G.Ceadeus Fur x1, Earth Dragongem x1 : 金剛原珠 x1, 皇海龍の剛鎧毛 x1, 大地の龍玉 x1
Capture Jewel : Adamant Orb x1, Commendataion x1, G.Plesio Shard x1 : 金剛原珠 x1, 勇気の証 x1, 翠水竜の厚鱗 x1
Capture Jewel : Adamant Orb x1, Conqueror's Seal x2, Zin Electrofur+ x1 : 金剛原珠 x1, 覇王の証 x2, 雷狼竜の雷電毛 x1
Perception Jwl : Aquaglow Jewel x1, Phenoplos Shell x1, Binoculars x1 : 水光原珠 x1, 草食竜の甲殻 x1, 双眼鏡 x1
Psychic Jewel : Aquaglow Jewel x1, Vivid Feather x1 : 水光原珠 x1, 極彩色の羽根 x1
Transportr Jwl : Aquaglow Jewel x1, Dash Extract x1 : 水光原珠 x1, 狂走エキス x1
Ranger Jewel : Aquaglow Jewel x1, Sushifish x1, Raw Meat x2 : 水光原珠 x1, サシミウオ x1, 生肉 x2
Alarm Jewel : Aquaglow Jewel x1, Felvine x3 : 水光原珠 x1, マタタビ x3
TrapMaster Jwl : Sunspire Jewel x1, Velvety Hide x1, Shock Trap x1 : 陽翔原珠 x1, なめらかな皮 x1, シビレ罠 x1
Torchlight Jwl : Sunspire Jewel x1, Gobul Lantern x2, Agnaktor Scale x2 : 陽翔原珠 x1, 提灯球 x2, 炎戈竜の燃鱗 x2
Fresh Air Jwl : Aquaglow Jewel x1, Airweed x5 : 水光原珠 x1, イキツギ藻 x5
Stopflow Jewel : Aquaglow Jewel x1, Immature Sponge x1, Spongy Hide x3 :水光原珠 x1, 未熟な海綿質 x1, 海綿質の皮 x3
Stopflow Jewel : Bloodrun Jewel x1, Hydro Hide x5, R.Ludroth Scale+ x3 : 修羅原珠 x1, 水生獣の皮 x5, 水獣の上鱗 x3
Swimmer Jewel : Aquaglow Jewel x1, Big Fin x5, Gobul Fin x1 : 水光原珠 x1, 大きなヒレ x5, 灯魚竜のヒレ x1
Diver Jewel : Bloodrun Jewel x1, Quality Fin x5, Plesioth Fin+ x1 : 修羅原珠 x1, 上質なヒレ x5, 水竜の上ビレ x1
Fish Jewel : Adamant Orb x1, Plesioth Head x1, Fine G.Plesi Fin x1 : 金剛原珠 x1, 水竜のお頭 x1, 翠水竜の特上ビレ x1
Fish Jewel : Adamant Orb x1, A.Lagi Shard x2, G.Plesio Shard x1 : 金剛原珠 x1, 冥海竜の厚鱗 x2, 翠水竜の厚鱗 x1
Potential Jwl : Sunspire Jewel x1, Duram Mossplate x2 : 陽翔原珠 x1, 尾槌竜の苔甲 x2
Potential Jwl : Adamant Orb x1, Heavy Mossplate x2, Lagombi Ear+ x2 : 金剛原珠 x1, 尾槌竜の重苔甲 x2, 白兎獣の大耳 x2
Fortitude Jwl : Sunspire Jewel x1, Duramboros Tailcase x1 : 陽翔原珠 x1, 尾槌竜の尾甲 x1
Fortitude Jwl : Bloodrun Jewel x1, Hard Mossplate x1, Plesioth Head x1 : 修羅原珠 x1, 尾槌竜の堅苔甲 x1, 水竜のお頭 x1
Throttle Jewel : Lazurite Jewel x1, Zingogre Horn+ x1, Barioth Spike x2 : 瑠璃原珠 x1, 雷狼竜の尖角 x1, 氷牙竜の棘 x2
Throttle Jewel : Lazurite Jewel x1, Alatreon Scute x1, I.Lagi Hide+ x2 : 瑠璃原珠 x1, 煌黒龍の堅逆殻 x1  白海竜の上皮 x2
Spirit Jewel : Adamant Orb x1, Brach Carapace x2, Barroth Lash x1 : 金剛原珠 x1, 砕竜の堅殻 x2, 土砂竜の靱尾 x1
Spirit Jewel : Adamant Orb x1, Brach Pounder+ x1, Zin Electrofur+ x1 : 金剛原珠 x1, 砕竜の剛鉄拳 x1, 雷狼竜の雷電毛 x1
Flawless Jewel : Adamant Orb x1, S.Zin Hardhorn x2, S.Zin Cortex x2 : 金剛原珠 x1, 獄狼竜の剛角 x2, 獄狼竜の重殻 x2
Flawless Jewel : Adamant Orb x1, S.Zinogre Talon x2, G.Ceadeus Coat x2 : 金剛原珠 x1, 獄狼竜の剛爪 x2, 皇海龍の重厚皮 x2
Release Jewel : Adamant Orb x1, Lagiacrus Piel x1, I.Lagi Horn+ x1 : 金剛原珠 x1, 海龍の厚皮 x1, 白海竜の尖角 x1
Catalyst Jewel : Adamant Orb x1, I.Lagi Peil x2, Lagia Hardhorn x1 : 金剛原珠 x1, 白海竜の厚皮 x2, 海竜の剛角 x1
