Yukumo Kasa : 1 Yukumo Wood, 1 Gagua Feather
Yukumo Dogi : 2 Yukumo Wood, 2 Ivy
Yukumo Kote : 2 Yukumo Wood, 1 Ivy
Yukumo Obi : 1 Yukumo Wood, 2 Iron Ore
Yukumo Hakama : 2 Yukumo Wood, 2 Carpenterbug
Leather Headgear : 1 Warm Pelt, 1 Iron Ore
Leather Vest : 1 Bullfango Pelt, 1 Iron Ore
Leather Gloves : 2 Warm Pelt
Leather Belt : 1 Bullfango Pelt, 1 Iron Ore
Leather Pants : 2 Warm Pelt
Chainmail Headgear : 1 Earth Crystal, 1 Iron Ore
Chainmail Vest : 2 Iron Ore, 1 Yukumo Wood
Chainmail Gloves : 1 Iron Ore, 2 Yukumo Wood
Chainmail Belt : 1 Iron Ore, 2 Warm Pelt
Chainmail Pants : 2 Iron Ore, 2 Yukumo Wood
Loc Lac Shawl : 1 Altaroth Stomach, 3 Monster Fluid, 3 Ice Crystal
Loc Lac Kilt : 2 Altaroth Stomach, 2 Altaroth Jaw, 3 Ice Crystal
Loc Lac Boots : 3 Altaroth Jaw, 2 Altaroth Stomach, 3 Ice Crystal
Hunter's Helm : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Mail : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Vambraces : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Faulds : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Greaves : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Hunter's Cap : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Vest : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Guards : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Coat : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Leggings : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Bone Helm : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Mail : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Vambraces : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Faulds : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Greaves : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Bone Cap : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Vest : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Guards : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Coat : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Leggings : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Alloy Helm : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Mail : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Vambraces : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coil : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Greaves : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Alloy Cap : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Vest : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Guards : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coat : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Leggings : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Qurupeco Vambraces : 1 Flintstone, 2 Qurupeco Feathr, 2 Qurupeco Scale, 2 Thunderbug
Qurupeco Coil : 2 Qurupeco Feathr, 3 Qurupeco Scale, 4 Monster Bone S, 2 Killer Beetle
Qurupeco Greaves : 2 Qurupeco Scale, 1 Vivid Feather, 4 Monster Bone S, 2 Killer Beetle
Qurupeco Cap : 2 Strange Beak, 2 Qurupeco Feathr, 2 Monster Bone M, 3 Carpenterbug
Qurupeco Vest : 1 Vivid Feather, 2 Qurupeco Scale, 2 Monster Bone M, 3 Carpenterbug
Qurupeco Guards : 1 Flintstone, 2 Qurupeco Feathr, 2 Qurupeco Scale, 2 Thunderbug
Qurupeco Coat : 2 Qurupeco Feathr, 3 Qurupeco Scale, 4 Monster Bone S, 2 Killer Beetle
Qurupeco Leggings : 2 Qurupeco Scale, 1 Vivid Feather, 4 Monster Bone S, 2 Killer Beetle
Ludroth Helm : 2 R.Ludroth Crest, 1 R.Ludroth Tail, 2 R.Ludro Scale, 3 Carpenterbug
Ludroth Mail : 2 Spongy Hide, 1 R.Ludroth Claw, 3 Ludroth Hide, 2 Killer Beetle
Ludroth Vambraces : 1 R.Ludroth Claw, 2 R.Ludro Scale, 2 Spongy Hide, 2 Water Sac
Ludroth Faulds : 3 Ludroth Hide, 5 Immature Sponge, 4 Monster Bone S, 2 Killer Beetle
Ludroth Greaves : 2 R.Ludroth Claw, 3 R.Ludro Scale, 2 Spongy Hide, 3 Carpenterbug
Ludroth Cap : 2 R.Ludroth Crest, 1 R.Ludroth Tail, 2 R.Ludro Scale, 3 Carpenterbug
Ludroth Vest : 2 Spongy Hide, 1 R.Ludroth Claw, 3 Ludroth Hide, 2 Killer Beetle
Ludroth Guards : 1 R.Ludroth Claw, 2 R.Ludro Scale, 2 Spongy Hide, 2 Water Sac
Ludroth Coat : 3 Ludroth Hide, 5 Immature Sponge, 4 Monster Bone S, 2 Killer Beetle
Ludroth Leggings : 2 R.Ludroth Claw, 3 R.Ludro Scale, 2 Spongy Hide, 3 Carpenterbug
Urkusus Helm : 2 Urkusus Ear, 2 Giant Bone, 4 Baggi Hide, 2 Isisium
Urkusus Mail : 2 Urkusus Belly, 2 Urkusus Pelt, 4 Baggi Scale, 3 Killer Beetle
Urkusus Vambraces : 2 Urkusus Claw, 2 Urkusus Pelt, 1 Urkusus Belly, 4 Velvety Hide
Urkusus Faulds : 3 Urkusus Pelt, 1 Urkusus Claw, 2 Giant Bone, 3 Killer Beetle
Urkusus Greaves : 2 Urkusus Pelt, 2 Urkusus Belly, 1 Urkusus Claw, 8 Carpenterbug
Urkusus Cap : 2 Urkusus Ear, 2 Giant Bone, 4 Baggi Hide, 2 Isisium
Urkusus Vest : 2 Urkusus Belly, 2 Urkusus Pelt, 4 Baggi Scale, 3 Killer Beetle
Urkusus Guards : 2 Urkusus Claw, 2 Urkusus Pelt, 1 Urkusus Belly, 4 Velvety Hide
Urkusus Coat : 3 Urkusus Pelt, 1 Urkusus Claw, 2 Giant Bone, 3 Killer Beetle
Urkusus Leggings : 2 Urkusus Pelt, 2 Urkusus Belly, 1 Urkusus Claw, 8 Carpenterbug
Froggi Helm : 1 King's Break, 2 Great Froggi Hide, 2 Froggi Scale, 2 Killer Beetle
Froggi Mail : 2 Great Froggi Hide, 1 Great Frggi Arm, 3 Poison Sac, 5 Ice Crystal
Froggi Vambraces : 2 Great Frggi Arm, 2 Great Froggi Hide, 2 Froggi Scale, 3 Carpenterbug
Froggi Faulds : 3 Froggi Hide, 2 Froggi Scale, 6 Monster Bone S, 3 Killer Beetle
Froggi Greaves : 2 Great Frggi Arm, 2 Great Froggi Hide, 3 Froggi Hide, 3 Carpenterbug
Froggi Cap : 1 King's Break, 2 Great Froggi Hide, 2 Froggi Scale, 2 Killer Beetle
Froggi Vest : 2 Great Froggi Hide, 1 Great Frggi Arm, 3 Poison Sac, 5 Ice Crystal
Froggi Guards : 2 Great Frggi Arm, 2 Great Froggi Hide, 2 Froggi Scale, 3 Carpenterbug
Froggi Coat : 3 Froggi Hide, 2 Froggi Scale, 6 Monster Bone S, 3 Killer Beetle
Froggi Leggings : 2 Great Frggi Arm, 2 Great Froggi Hide, 3 Froggi Hide, 3 Carpenterbug
Aoashira Helm : 2 Aoashira Shell, 2 Aoashira Pelt, 2 Giant Bone, 3 Carpenterbug
Aoashira Mail : 3 Aoashira Pelt, 1 Aoashira Shell, 2 Bnahabra Shell, 2 Killer Beetle
Aoashira Vambraces : 2 Aoashira Shell, 1 Aoashira Brace, 2 Aoashira Pelt, 2 Altaroth Stomach
Aoashira Faulds : 2 Aoashira Pelt, 1 Aoashira Shell, 1 Giant Bone, 3 Carpenterbug
Aoashira Greaves : 2 Aoashira Brace, 2 Aoashira Pelt, 2 Bnahabra Shell, 2 Killer Beetle
Aoashira Cap : 2 Aoashira Shell, 2 Aoashira Pelt, 2 Giant Bone, 3 Carpenterbug
Aoashira Vest : 3 Aoashira Pelt, 1 Aoashira Shell, 2 Bnahabra Shell, 2 Killer Beetle
Aoashira Guards : 2 Aoashira Shell, 1 Aoashira Brace, 2 Aoashira Pelt, 2 Altaroth Stomach
Aoashira Coat : 2 Aoashira Pelt, 1 Aoashira Shell, 1 Giant Bone, 3 Carpenterbug
Aoashira Leggings : 2 Aoashira Brace, 2 Aoashira Pelt, 2 Bnahabra Shell, 2 Killer Beetle
Barroth Helm : 2 Barroth Ridge, 1 Barroth Shell, 1 Barroth Scalp, 2 Renoplos Scalp
Barroth Mail : 1 Barroth Scalp, 2 Barroth Ridge, 2 Fertile Mud, 4 Bulldrome Hide
Barroth Vambraces : 2 Barroth Claw, 2 Barroth Shell, 2 Fertile Mud, 3 Rhenoplos Shell
Barroth Faulds : 2 Barroth Shell, 1 Barroth Claw, 2 Barroth Ridge, 5 Monster Bone M
Barroth Greaves : 2 Barroth Shell, 1 Barroth Tail, 2 Monster Bone L, 3 Rhenoplos Shell
Barroth Cap : 2 Barroth Ridge, 1 Barroth Shell, 1 Barroth Scalp, 2 Renoplos Scalp
Barroth Vest : 1 Barroth Scalp, 2 Barroth Ridge, 2 Fertile Mud, 4 Bulldrome Hide
Barroth Guards : 2 Barroth Claw, 2 Barroth Shell, 2 Fertile Mud, 3 Rhenoplos Shell
Barroth Coat : 2 Barroth Shell, 1 Barroth Claw, 2 Barroth Ridge, 5 Monster Bone M
Barroth Leggings : 2 Barroth Shell, 1 Barroth Tail, 2 Monster Bone L, 3 Rhenoplos Shell
Ranguro Helm : 2 Rangurotora Claw, 2 Rangurotora Shell, 2 Monster Fluid, 4 Dragonite Ore
Ranguro Mail : 3 Rangurotora Shell, 1 Rangrtora Scute, 2 Giant Bone, 4 Uroktor Scale
Ranguro Vambraces : 2 Rangurotora Claw, 2 Rangrtora Scute, 2 Giant Bone, 4 Uroktor Scale
Ranguro Faulds : 3 Rangurotora Shell, 4 Paralysis Sac, 1 Monster Fluid, 1 Fire Stone
Ranguro Greaves : 2 Rangurotora Claw, 2 Rangurotora Shell, 1 Rangrtora Scute, 4 Bealite Ore
Ranguro Cap : 2 Rangurotora Claw, 2 Rangurotora Shell, 2 Monster Fluid, 4 Dragonite Ore
Ranguro Vest : 3 Rangurotora Shell, 1 Rangrtora Scute, 2 Giant Bone, 4 Uroktor Scale
Ranguro Guards : 2 Rangurotora Claw, 2 Rangrtora Scute, 2 Giant Bone, 4 Uroktor Scale
Ranguro Coat : 3 Rangurotora Shell, 4 Paralysis Sac, 1 Monster Fluid, 1 Fire Stone
Ranguro Leggings : 2 Rangurotora Claw, 2 Rangurotora Shell, 1 Rangrtora Scute, 4 Bealite Ore
Baggi Helm : 3 Great Baggi Hide, 2 Great Baggi Claw, 3 Baggi Scale, 2 Isisium
Baggi Mail : 1 Leader's Crest, 1 Great Baggi Claw, 2 Baggi Hide, 2 Pelagicite Ore
Baggi Vambraces : 2 Great Baggi Claw, 3 Great Baggi Hide, 2 Baggi Hide, 2 Isisium
Baggi Coil : 2 Great Baggi Hide, 1 Leader's Crest, 3 Sleep Sac, 2 Pelagicite Ore
Baggi Greaves : 4 Baggi Hide, 3 Baggi Scale, 6 Monster Bone S, 1 Lightcrystal
Baggi Cap : 3 Great Baggi Hide, 2 Great Baggi Claw, 3 Baggi Scale, 2 Isisium
Baggi Vest : 1 Leader's Crest, 1 Great Baggi Claw, 2 Baggi Hide, 2 Pelagicite Ore
Baggi Guards : 2 Great Baggi Claw, 3 Great Baggi Hide, 2 Baggi Hide, 2 Isisium
Baggi Coat : 2 Great Baggi Hide, 1 Leader's Crest, 3 Sleep Sac, 2 Pelagicite Ore
Baggi Leggings : 4 Baggi Hide, 3 Baggi Scale, 6 Monster Bone S, 1 Lightcrystal
Hapul Helm : 1 Hapul Scalp, 2 Hapul Shell, 5 Monster Bone M, 2 Great Jaggi Hide
Hapul Mail : 4 Hapul Hide, 1 Hapul Claw, 3 Hapul Shell, 4 Bright Fluid
Hapul Vambraces : 2 Hapul Claw, 2 Hapul Shell, 4 Bright Fluid, 3 Altaroth Jaw
Hapul Faulds : 3 Hapul Hide, 1 Hapul Scalp, 3 Monster Bone L, 4 Altaroth Stomach
Hapul Greaves : 3 Hapul Shell, 1 Hapul Claw, 3 Hapul Hide, 3 Altaroth Jaw
Hapul Cap : 1 Hapul Scalp, 2 Hapul Shell, 5 Monster Bone M, 2 Great Jaggi Hide
Hapul Vest : 4 Hapul Hide, 1 Hapul Claw, 3 Hapul Shell, 4 Bright Fluid
Hapul Guards : 2 Hapul Claw, 2 Hapul Shell, 4 Bright Fluid, 3 Altaroth Jaw
Hapul Coat : 3 Hapul Hide, 1 Hapul Scalp, 3 Monster Bone L, 4 Altaroth Stomach
Hapul Leggings : 3 Hapul Shell, 1 Hapul Claw, 3 Hapul Hide, 3 Altaroth Jaw
Rathian Helm : 1 Rathian Spike, 4 Rathian Scale, 3 Rathian Shell, 3 Dragonite Ore
Rathian Mail : 4 Rathian Scale, 3 Rathian Webbing, 1 Rath Marrow, 5 Machalite Ore
Rathian Vambraces : 2 Rath Talon, 2 Rathian Shell, 1 Rathian Spike, 3 Dragonite Ore
Rathian Faulds : 2 Rathian Webbing, 1 Rathian Plate, 2 Flame Sac, 5 Machalite Ore
Rathian Greaves : 3 Rathian Shell, 4 Rathian Scale, 3 Monster Bone L, 1 Fire Stone
Rathian Cap : 1 Rathian Spike, 4 Rathian Scale, 3 Rathian Shell, 3 Dragonite Ore
Rathian Vest : 4 Rathian Scale, 3 Rathian Webbing, 1 Rath Marrow, 5 Machalite Ore
Rathian Guards : 2 Rath Talon, 2 Rathian Shell, 1 Rathian Spike, 3 Dragonite Ore
Rathian Coat : 2 Rathian Webbing, 1 Rathian Plate, 2 Flame Sac, 5 Machalite Ore
Rathian Leggings : 3 Rathian Shell, 4 Rathian Scale, 3 Monster Bone L, 1 Fire Stone
Gigginox Helm : 2 Uncanny Hide, 3 Gigginox Hide, 2 Poison Sac, 3 Great Baggi Hide
Gigginox Mail : 2 Gigginox Claw, 3 Gigginox Hide, 3 Eerie Psn Gland, 4 Isisium
Gigginox Vambraces : 4 Gigginox Hide, 1 Gigginox Claw, 3 Eerie Psn Gland, 3 Monster Bone L
Gigginox Faulds : 4 Gigginox Hide, 1 Uncanny Hide, 4 Velvety Hide, 2 Great Baggi Hide
Gigginox Greaves : 1 Fearsome Maw, 4 Velvety Hide, 2 Pale Extract, 1 Lightcrystal
Gigginox Cap : 2 Uncanny Hide, 3 Gigginox Hide, 2 Poison Sac, 3 Great Baggi Hide
Gigginox Vest : 2 Gigginox Claw, 3 Gigginox Hide, 3 Eerie Psn Gland, 4 Isisium
Gigginox Guards : 4 Gigginox Hide, 1 Gigginox Claw, 3 Eerie Psn Gland, 3 Monster Bone L
Gigginox Coat : 4 Gigginox Hide, 1 Uncanny Hide, 4 Velvety Hide, 2 Great Baggi Hide
Gigginox Leggings : 1 Fearsome Maw, 4 Velvety Hide, 2 Pale Extract, 1 Lightcrystal
Steel Mail : 2 Isisium, 1 Lightcrystal, 3 Bealite Ore, 10 Iron Ore
Steel Vambraces : 4 Isisium, 1 Lightcrystal, 2 Pelagicite Ore, 5 Iron Ore
Steel Faulds : 4 Isisium, 2 Bealite Ore, 1 Pelagicite Ore, 5 Iron Ore
Ingot Helm : 2 Dragonite Ore, 2 Isisium, 1 Pelagicite Ore, 3 Bealite Ore
Ingot Mail : 4 Dragonite Ore, 1 Fire Stone, 1 Pelagicite Ore, 3 Bealite Ore
Ingot Vambraces : 2 Dragonite Ore, 2 Lightcrystal, 2 Bealite Ore, 5 Machalite Ore
Ingot Coil : 4 Dragonite Ore, 1 Fire Stone, 3 Isisium, 5 Machalite Ore
Ingot Greaves : 3 Dragonite Ore, 2 Isisium, 2 Pelagicite Ore, 5 Machalite Ore
Ingot Cap : 2 Dragonite Ore, 2 Isisium, 1 Pelagicite Ore, 3 Bealite Ore
Ingot Vest : 4 Dragonite Ore, 1 Fire Stone, 1 Pelagicite Ore, 3 Bealite Ore
Ingot Guards : 2 Dragonite Ore, 2 Lightcrystal, 2 Bealite Ore, 5 Machalite Ore
Ingot Coat : 4 Dragonite Ore, 1 Fire Stone, 3 Isisium, 5 Machalite Ore
Ingot Leggings : 3 Dragonite Ore, 2 Isisium, 2 Pelagicite Ore, 5 Machalite Ore
Yuami Headpiece : 4 HotSpringTicket, 2 Drink Ticket, 1 Yukumo Ticket, 1 Commendation
Yuami Towel : 4 HotSpringTicket, 2 Drink Ticket, 1 Yukumo Ticket, 1 Commendation
Yuami Wrist : 4 HotSpringTicket, 2 Drink Ticket, 1 Yukumo Ticket, 1 Commendation
Yuami Sandals : 4 HotSpringTicket, 2 Drink Ticket, 1 Yukumo Ticket, 1 Commendation
Zuwaroposu Hood : 2 Zuwaroposu Hide, 2 Bulldrome Hide, 3 Bullfango Pelt
Zuwaroposu Mantle : 4 Zuwaroposu Hide, 1 Bulldrome Hide, 3 Bullfango Pelt
Zuwaroposu Cap : 2 Zuwaroposu Hide, 2 Bulldrome Hide, 3 Bullfango Pelt
Zuwaroposu Vest : 4 Zuwaroposu Hide, 1 Bulldrome Hide, 3 Bullfango Pelt
Acorn Helm : 4 Comrade Ticket, 4 Lava Chunk, 2 Fire Stone, 2 Molten Chest Shl
Acorn Mail : 4 Comrade Ticket, 4 Lava Chunk, 2 Fire Stone, 2 Uragaan Scute
Vaiku Helm : 4 Armored Shadfish, 4 Large Beltfish, 2 Pelagicite Ore, 10 Burst Arrowana
Vaiku Mail : 3 Armored Shadfish, 4 Unari Shellfish, 3 Bealite Ore, 5 Bomb Arrowana
Vaiku Vambraces : 2 Armored Shadfish, 2 Isisium, 2 Scatterfish, 6 Big Fin
Vaiku Faulds : 3 Armored Shadfish, 2 Isisium, 4 Small Goldenfish, 5 Sleepyfish
Vaiku Greaves : 2 Armored Shadfish, 1 Pelagicite Ore, 20 Popfish, 3 Big Fin
Vaiku Cap : 4 Armored Shadfish, 4 Large Beltfish, 2 Pelagicite Ore, 10 Burst Arrowana
Vaiku Vest : 3 Armored Shadfish, 4 Unari Shellfish, 3 Bealite Ore, 5 Bomb Arrowana
Vaiku Guards : 2 Armored Shadfish, 2 Isisium, 2 Scatterfish, 6 Big Fin
Vaiku Coat : 3 Armored Shadfish, 2 Isisium, 4 Small Goldenfish, 5 Sleepyfish
Vaiku Leggings : 2 Armored Shadfish, 1 Pelagicite Ore, 20 Popfish, 3 Big Fin
Pumpkin Helm : 1 Pepiper Pumpkin, 2 Hercudrome, 3 Dragonfell Berry, 10 Felvine
Pumpkin Mail : 3 Pepiper Pumpkin, 2 Pale Extract, 10 Bomberry, 10 Cactus Flower
Pumpkin Vambraces : 2 Pepiper Pumpkin, 2 Killer Beetle, 10 Wolfsbane Berry, 10 Hot Pepper
Pumpkin Faulds : 3 Pepiper Pumpkin, 3 Killer Beetle, 10 Needleberry, 10 Frost Herb
Pumpkin Greaves : 2 Pepiper Pumpkin, 1 Pale Extract, 10 Scatternut, 5 Carpenterbug
Pumpkin Cap : 1 Pepiper Pumpkin, 2 Hercudrome, 3 Dragonfell Berry, 10 Felvine
Pumpkin Vest : 3 Pepiper Pumpkin, 2 Pale Extract, 10 Bomberry, 10 Cactus Flower
Pumpkin Guards : 2 Pepiper Pumpkin, 2 Killer Beetle, 10 Wolfsbane Berry, 10 Hot Pepper
Pumpkin Coat : 3 Pepiper Pumpkin, 3 Killer Beetle, 10 Needleberry, 10 Frost Herb
Pumpkin Leggings : 2 Pepiper Pumpkin, 1 Pale Extract, 10 Scatternut, 5 Carpenterbug
Obituary Testa/Butterfly Testa : 1 Great Swallowtail, 3 Thunderbug, 3 Pale Extract, 10 Flashbug
Obituary Petto/Butterfly Petto : 2 Great Swallowtail, 3 Sound Cricket, 3 Pale Extract, 10 Earbug
Obituary Mano/Butterfly Mano : 1 Great Swallowtail, 1 Hercudrome, 5 Carpenterbug, 10 Bitterbug
Obituary Anca/Butterfly Anca : 2 Great Swallowtail, 2 Hercudrome, 4 Killer Beetle, 10 Bonhopper
